#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:53:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a898eda2f9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=41	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/93/549&tab:{J/ApJS/93/549/table1}&key:source=Arecibo+1612&HTTPPRM:&&-ref=VIZ611a898eda2f9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/93/549/table1
#-order=I
#-out=L
#-out=IRAS
#-out=n_IRAS
#-out=Note
#-out=GLON
#-out=GLAT
#-out=RA1950
#-out=DE1950
#-out=S1612
#-out=S1612-l
#-out.all=2
#-out=S1612-h
#-out=DV100
#-out=u_DV100
#-out=DV50
#-out=u_DV50
#-out=Vl
#-out=Vh
#-out=<V>
#-out=(25-12)
#-out=(60-25)
#-out=LRS
#-out=Name
#-out=PSC
#PSC=PSC
#-out=_RA.icrs
#-out=_DE.icrs
#-out.all=2
#

#RESOURCE=yCat_20930549
#Name: J/ApJS/93/549
#Title: Arecibo 1612 MHz survey supplement (Lewis 1994)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_ApJS_93_549_table1:
#Name: J/ApJS/93/549/table1
#Title: Profile parameters for 1612 MHz detections
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	L	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id;meta.main]
#Column	n_IRAS	(A1)	[*] *: part of color-selected Arecibo sample	[ucd=meta.note]
#Column	Note	(A1)	[s] s: single to double peaked profiles	[ucd=meta.note]
#Column	GLON	(F5.1)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.1)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	RA1950	(A10)	Right ascension (1950)	[ucd=pos.eq.ra;meta.main]
#Column	DE1950	(A9)	Declination (1950)	[ucd=pos.eq.dec;meta.main]
#Column	S1612	(F8.1)	Total integrated 1612MHz flux	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	S1612-l	(F7.1)	Integrated 1612MHz flux in the low-velocity half of the spectrum	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	S1612-h	(F8.1)	? Integrated 1612MHz flux in the high-velocity half of the spectrum	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	DV100	(F4.1)	? Velocity width at 100% of the peak velocity {Delta}V_100_	[ucd=spect.line.width]
#Column	u_DV100	(A1)	[)] Uncertainty flag on DV100	[ucd=meta.code.error]
#Column	DV50	(F4.1)	? Velocity width at 50% of the peak velocity {Delta}V_50_	[ucd=spect.line.width]
#Column	u_DV50	(A1)	[)] Uncertainty flag on DV50	[ucd=meta.code.error]
#Column	Vl	(F5.1)	LSR velocity of the low-velocity peak	[ucd=phys.veloc;stat.max]
#Column	Vh	(F5.1)	? LSR velocity of the high-velocity peak	[ucd=spect.dopplerVeloc;stat.max]
#Column	<V>	(F5.1)	Systemic LSR velocity	[ucd=spect.dopplerVeloc;pos.lsr]
#Column	(25-12)	(F6.3)	(25-12){mu}m infrared colour (1)	[ucd=phot.color;em.IR.8-15um;em.IR.15-30um]
#Column	(60-25)	(F6.3)	(60-25){mu}m infrared colour (1)	[ucd=phot.color;em.IR.15-30um;em.IR.30-60um]
#Column	LRS	(I2)	? IRAS low-resolution spectral-type (see Cat. III/197, Note 1) [NULL integer written as an empty string]	[ucd=src.spType]
#Column	Name	(a10)	Other name	[ucd=meta.id]
#Column	PSC	(A3)	Details from the IRAS-PSC catalog	[ucd=meta.ref.url]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	L	IRAS	n_IRAS	Note	GLON	GLAT	RA1950	DE1950	S1612	S1612-l	S1612-h	DV100	u_DV100	DV50	u_DV50	Vl	Vh	<V>	(25-12)	(60-25)	LRS	Name	PSC	_RA.icrs	_DE.icrs
deg	deg	 	 	 	 	deg	deg	"h:m:s"	"d:m:s"	mJy.km/s	mJy.km/s	mJy.km/s	km/s	 	km/s	 	km/s	km/s	km/s	mag	mag	 	 	 	"h:m:s"	"d:m:s"
----------	----------	-	----------	-	-	-----	-----	----------	---------	--------	-------	--------	----	-	----	-	-----	-----	-----	------	------	--	----------	---	----------	---------
022.659485	 +2.881130	L	01280+0237	 	 	141.9	 58.5	01 28 03.3	+02 37 25	    76.5	   76.5	        	    	 	    	 	-57.6	     	 57.6	-0.750	-1.144	22	R Psc     	PSC	01 30 38.3	+02 52 52
051.288393	+30.772482	L	03220+3035	*	 	157.9	-21.5	03 22 04.7	+30 35 49	    66.2	  -54.4	        	    	 	    	 	  3.9	     	  3.9	 0.088	-0.269	  	          	PSC	03 25 09.2	+30 46 21
051.632701	+12.003825	L	03237+1149	*	 	171.9	-35.7	03 23 47.1	+11 49 47	    17.5	   17.5	        	    	 	    	 	-14.9	     	 12.1	 0.079	-1.117	  	          	PSC	03 26 31.8	+12 00 14
066.684788	+26.107989	 	04236+2559	*	 	171.8	 15.7	04 23 40.7	+25 59 46	   117.8	  117.8	        	    	 	    	 	  6.5	     	  6.5	-0.222	-0.576	  	          	PSC	04 26 44.3	+26 06 29
068.390893	+24.352556	L	04305+2414	*	 	174.2	 15.7	04 30 32.1	+24 14 54	    85.6	   85.6	        	    	 	    	 	  6.1	     	  6.1	-0.246	-0.665	  	          	PSC	04 33 33.8	+24 21 09
068.493653	+10.231669	L	04312+1007	 	 	186.1	 24.4	04 31 13.6	+10 07 41	    86.2	   86.2	        	    	 	    	 	 20.5	     	 20.5	-0.704	-1.251	29	BX   Tau  	PSC	04 33 58.5	+10 13 54
093.747649	+12.337675	 	06121+1221	 	 	197.8	  2.3	06 12 11.1	+12 21 15	     9.5	    9.5	        	    	 	    	 	 82.3	     	 82.3	-0.460	 1.263	14	          	PSC	06 14 59.4	+12 20 16
101.273764	 +9.038044	L	06423+0905	 	 	204.2	  2.7	06 42 21.5	+09 05 27	    66.1	   66.1	        	    	 	    	 	 30.7	     	 30.7	-0.742	-1.334	28	FX   Mon  	PSC	06 45 05.7	+09 02 17
264.185952	+10.851503	L	17343+1052	 	 	 34.4	 21.5	17 34 23.6	+10 52 52	  1507.6	 1127.2	   380.4	 9.5	 	11.0	 	-62.6	-53.1	-57.8	-0.768	-1.173	25	V790 Oph  	PSC	17 36 44.6	+10 51 05
277.455101	 +1.277380	L	18272+0114	 	 	 31.6	  5.4	18 27 16.9	+01 14 34	    48.3	   48.3	        	    	 	    	 	  8.7	     	 41.7	 0.210	-0.891	  	          	PSC	18 29 49.2	+01 16 39
282.695707	 +0.919130	 	18482+0051	 	 	 33.7	  0.6	18 48 14.2	+00 51 34	   481.7	  416.9	    64.8	35.9	 	37.5	 	-32.2	  3.7	-13.9	-0.490	 0.530	13	          	PSC	18 50 47.0	+00 55 09
284.327537	 +6.697746	 	18548+0637	 	 	 39.6	  1.8	18 54 52.4	+06 37 49	   416.2	  137.1	   279.1	32.7	 	34.3	 	  3.7	 36.4	 20.1	-0.797	-0.658	32	V84 Aql   	PSC	18 57 18.6	+06 41 52
284.393881	 +1.581614	L	18550+0130	 	 	 35.0	 -0.6	18 55 02.5	+01 30 50	   937.3	  708.9	   228.4	60.4	 	61.3	 	  2.3	 62.7	 32.7	-0.391	-0.704	32	          	PSC	18 57 34.5	+01 34 54
284.746098	 +2.617728	 	18564+0232	 	 	 36.1	 -0.5	18 56 28.2	+02 32 54	  4220.3	 3054.6	  1165.7	34.5	 	36.6	 	 62.3	 96.8	 80.0	-0.247	-0.437	38	          	PSC	18 58 59.1	+02 37 04
285.332906	 +4.541618	L	18588+0428	 	 	 38.1	 -0.1	18 58 51.2	+04 28 10	  4319.3	 2436.6	  1882.7	44.5	 	46.9	 	 29.6	 74.1	 52.4	-0.323	-0.234	39	          	PSC	19 01 19.9	+04 32 30
286.467979	+19.257929	L	19036+1910	*	 	 51.7	  5.6	19 03 40.9	+19 10 49	   309.9	  224.0	    85.9	15.4	 	17.0	 	-38.5	-23.1	-31.1	-0.653	-1.091	  	          	PSC	19 05 52.3	+19 15 29
286.694480	 +8.476084	 	19043+0823	 	 	 42.2	  0.5	19 04 22.4	+08 23 51	    60.6	   60.6	        	    	 	    	 	 53.6	     	 53.6	-0.657	-0.318	15	          	PSC	19 06 46.7	+08 28 34
287.862775	+13.392678	L	19091+1318	 	 	 47.1	  1.7	19 09 08.4	+13 18 31	    80.7	   80.7	        	    	 	    	 	 47.3	     	 47.3	-0.733	-1.279	25	          	PSC	19 11 27.1	+13 23 34
288.494550	 +0.125179	 	19114+0002	 	 	 35.6	 -4.9	19 11 25.0	+00 02 18	188834.0	30452.0	158382.0	49.5	 	51.5	 	 73.6	123.1	 99.1	 0.909	-0.515	  	          	PSC	19 13 58.7	+00 07 31
