#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:55:27 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a898eda2f9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/93/549&tab:{J/ApJS/93/549/table2}&key:source=Arecibo+1612&HTTPPRM:&&-ref=VIZ611a898eda2f9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/93/549/table2
#-order=I
#-out=n_IRAS
#-out=IRAS
#-out=GLON
#-out=GLAT
#-out=(12-25)
#-out=(60-25)
#-out=_RA
#-out=_DE
#-out.all=2
#

#RESOURCE=yCat_20930549
#Name: J/ApJS/93/549
#Title: Arecibo 1612 MHz survey supplement (Lewis 1994)
#Table	J_ApJS_93_549_table2:
#Name: J/ApJS/93/549/table2
#Title: IRAS sources without 1612 MHz emission
#Column	_RAJ2000	(A12)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A12)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	n_IRAS	(A1)	[*] * : part of flux-limited Arecibo sample	[ucd=meta.note]
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id;meta.main]
#Column	GLON	(F5.1)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.1)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	(12-25)	(F7.4)	(12-25){mu}m infrared color	[ucd=phot.color;em.IR.8-15um;em.IR.15-30um]
#Column	(60-25)	(F7.4)	(60-25){mu}m infrared color	[ucd=phot.color;em.IR.15-30um;em.IR.30-60um]
#Column	_RA	(F8.4)	Simbad column added by the CDS	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Simbad column added by the CDS	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	n_IRAS	IRAS	GLON	GLAT	(12-25)	(60-25)	_RA	_DE
"h:m:s"	"d:m:s"	 	 	deg	deg	mag	mag	deg	deg
------------	------------	-	----------	-----	-----	-------	-------	--------	--------
00 06 29.240	+27 05 22.73	 	00039+2648	110.7	-34.7	-0.8380	-1.1392	001.6218	+27.0896
00 14 10.639	+29 01 17.39	 	00115+2844	113.2	-33.1	-0.8592	-0.6334	003.5443	+29.0215
00 22 22.874	+26 59 39.75	 	00197+2643	115.0	-35.4	-0.9123	-1.2102	005.5953	+26.9944
00 29 53.935	+08 48 20.29	 	00273+0831	113.9	-53.7	-0.5274	-0.5819	007.4747	+08.8056
00 59 45.245	+27 56 30.62	 	00570+2740	125.2	-34.9	-0.6683	-0.4371	014.9385	+27.9418
01 12 07.202	+22 13 18.61	 	01094+2157	129.2	-40.4	-0.8068	-1.2187	018.0300	+22.2218
01 17 22.201	+13 54 52.40	 	01147+1339	132.4	-48.5	-0.9514	-1.2057	019.3425	+13.9146
01 17 35.141	+08 55 54.10	 	01149+0840	133.8	-53.4	-0.7648	-1.1425	019.3964	+08.9317
01 22 52.333	+25 23 01.30	 	01201+2507	131.8	-36.9	-0.7315	-1.0521	020.7181	+25.3837
01 24 58.926	+14 50 55.04	 	01223+1435	134.9	-47.2	-0.7216	-1.2207	021.2455	+14.8486
01 56 47.003	+34 01 09.74	 	01538+3346	138.1	-26.9	-0.7368	-1.1900	029.1958	+34.0194
02 00 42.207	+05 31 50.17	 	01580+0517	152.6	-53.3	-0.8292	-0.6404	030.1759	+05.5306
02 02 38.533	+07 40 36.93	 	02000+0726	151.8	-51.2	-0.7468	-1.0264	030.6606	+07.6769
02 04 37.387	+12 31 34.56	 	02019+1217	149.4	-46.6	-0.8756	-0.7846	031.1558	+12.5263
02 07 51.030	+27 56 14.37	 	02049+2742	142.9	-32.0	-0.8239	-0.4230	031.9626	+27.9373
02 16 06.580	+25 03 20.88	 	02132+2449	146.2	-34.0	-0.8935	-0.7762	034.0274	+25.0558
02 26 02.556	-00 10 41.21	 	02234-0024	167.0	-54.8	-0.5410	-1.1727	036.5106	-00.1781
02 29 48.264	+16 02 50.14	 	02270+1549	154.8	-40.7	-0.9184	-0.9453	037.4511	+16.0473
02 35 00.019	+22 27 54.32	 	02321+2214	152.2	-34.4	-0.9323	-0.9293	038.7501	+22.4651
02 41 30.663	+34 30 56.56	 	02384+3418	147.4	-23.1	-0.7085	-1.2550	040.3778	+34.5157
02 43 00.954	+26 05 30.16	 	02401+2552	152.1	-30.4	-1.0056	-0.7451	040.7540	+26.0917
02 48 20.496	+17 30 38.74	 	02455+1718	158.7	-37.1	-0.8102	-1.2066	042.0854	+17.5108
03 05 24.907	+19 31 52.08	 	03025+1920	161.3	-33.2	-0.9197	-0.6296	046.3538	+19.5311
