#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-18T17:07:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611d3bc2368c7a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=40	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-out.add=_RA*-c.eq,_DE*-c.eq
#-sort=_r
#-nav=cat:J/A+A/582/A68&tab:{J/A+A/582/A68/oh_maser}&key:source=J/A+A/582/A68/oh_maser&HTTPPRM:&&-ref=VIZ611d3bc2368c7a&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-out.add=_RA*-c.eq,_DE*-c.eq&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/582/A68/oh_maser
#-order=I
#-out=Obs
#-out=IDobs
#-out=Pap
#-out=ID
#-out=Name
#-out=Freq
#-out=SpType
#-out=RAJ2000
#-out=DEJ2000
#-out=vel-blue
#-out.all=2
#-out=vel-red
#-out=e_vel
#-out=vel-cent
#-out=vel-shell
#-out=Flag
#-out=Sblue
#-out=Sred
#-out=Iblue
#-out=Ired
#-out=Ref
#-out=Monitor
#-out=Maps
#-out=BibCode
#-out=SimbadName
#-out.all=2
#

#RESOURCE=yCat_35820068
#Name: J/A+A/582/A68
#Title: Database of circumstellar OH masers (Engels+, 2015)
#Table	J_A_A_582_A68_oh_maser:
#Name: J/A+A/582/A68/oh_maser
#Title: OH maser observations
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Obs	(I1)	[1/3]? Prioritized observations (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	IDobs	(I5)	Observation identification number (1)	[ucd=meta.id;obs]
#Column	Pap	(I3)	Reference identification number (1)	[ucd=meta.bib]
#Column	ID	(I5)	Object identification number (1)	[ucd=meta.id]
#Column	Name	(a16)	Object name	[ucd=meta.id;meta.main]
#Column	Freq	(I4)	Frequency	[ucd=em.freq]
#Column	SpType	(A1)	[DSI] Spectral type of maser profile (2)	[ucd=src.spType]
#Column	RAJ2000	(A12)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	vel-blue	(F6.1)	? Velocity of blue-shifted maser peak	[ucd=spect.dopplerVeloc]
#Column	vel-red	(F6.1)	? Velocity of red-shifted maser peak	[ucd=spect.dopplerVeloc]
#Column	e_vel	(F5.2)	? Velocity resolution	[ucd=stat.error]
#Column	vel-cent	(F6.1)	? Radial velocity	[ucd=spect.dopplerVeloc]
#Column	vel-shell	(F5.1)	? Expansion velocity of the maser shell	[ucd=phys.veloc.expansion]
#Column	Flag	(A1)	[><=:.&] Flag for detected maser emission (3)	[ucd=meta.code.error]
#Column	Sblue	(F8.3)	? Flux density of blue-shifted maser peak (4)	[ucd=phot.flux]
#Column	Sred	(F7.3)	? Flux density of red-shifted maser peak	[ucd=phot.flux]
#Column	Iblue	(F8.3)	? Integral flux of blue-shifted maser peak (4)	[ucd=phot.flux.density;stat.max]
#Column	Ired	(F7.3)	? Integral flux of red-shifted maser peak (4)	[ucd=phot.flux.density;stat.max]
#Column	Ref	(A6)	Acronym of the reference (1)	[ucd=meta.ref;pos.frame]
#Column	Monitor	(I1)	[0/1] Presence in monitor.dat file (5)	[ucd=meta.code]
#Column	Maps	(I1)	[0/1] Presence in maps.dat file (6)	[ucd=meta.code]
#Column	BibCode	(A19)	Bibliographic Code	[ucd=meta.bib.bibcode]
#Column	SimbadName	(a16)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000	_DEJ2000	Obs	IDobs	Pap	ID	Name	Freq	SpType	RAJ2000	DEJ2000	vel-blue	vel-red	e_vel	vel-cent	vel-shell	Flag	Sblue	Sred	Iblue	Ired	Ref	Monitor	Maps	BibCode	SimbadName
deg	deg	 	 	 	 	 	MHz	 	"h:m:s"	"d:m:s"	km/s	km/s	km/s	km/s	km/s	 	Jy	Jy	Jy	Jy	 	 	 	 	
------------	------------	-	-----	---	-----	----------------	----	-	------------	------------	------	------	-----	------	-----	-	--------	-------	--------	-------	------	-	-	-------------------	----------------
257.49795833	-35.01611389	1	    1	  1	    1	OH350.749+02.898	1612	D	17 09 59.510	-35 00 58.01	 -38.9	 -24.3	 1.50	 -31.6	  7.3	 	   0.683	  1.269	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.749+02.898
257.67027917	-34.20720556	1	    2	  1	    2	OH351.486+03.263	1612	D	17 10 40.867	-34 12 25.94	 -21.4	  -6.8	 1.50	 -14.1	  7.3	 	   0.832	  0.597	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.486+03.263
257.81141250	-35.52017500	1	    3	  1	    3	OH350.494+02.394	1612	S	17 11 14.739	-35 31 12.63	-134.4	      	 1.50	-134.4	     	 	   2.104	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.494+02.394
258.17061250	-35.35916389	1	    4	  1	    4	OH350.797+02.252	1612	S	17 12 40.947	-35 21 32.99	-166.5	      	 1.50	-166.5	     	 	   0.607	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.797+02.252
258.27080833	-36.46509444	 	  154	  1	 5175	OH349.949+01.537	1612	D	17 13 04.994	-36 27 54.34	 -45.4	 -20.6	 1.50	 -33.0	 12.4	 	   0.438	  0.697	        	       	SEV97A	0	0	1997A&AS..122...79S	OH349.949+01.537
258.34390833	-35.41330833	1	    6	  1	    6	OH350.836+02.106	1612	D	17 13 22.538	-35 24 47.91	 -61.4	 -38.0	 1.50	 -49.7	 11.7	 	   0.831	  0.761	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.836+02.106
258.44421250	-34.62182500	1	    7	  1	    7	OH351.526+02.502	1612	S	17 13 46.611	-34 37 18.57	  56.9	      	 1.50	  56.9	     	 	   0.567	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.526+02.502
258.54091667	-34.75778611	1	    8	  1	    8	OH351.462+02.358	1612	D	17 14 09.820	-34 45 28.03	 137.2	 268.6	 1.50	 202.9	 65.7	 	   0.237	  0.379	        	       	SEV97A	0	0	1997A&AS..122...79S	OH351.462+02.358
258.71526667	-33.43180556	1	    9	  1	    9	OH352.625+03.014	1612	D	17 14 51.664	-33 25 54.50	 -74.0	 -65.2	 1.50	 -69.6	  4.4	 	   0.768	  0.600	        	       	SEV97A	0	0	1997A&AS..122...79S	OH352.625+03.014
259.30847083	-37.39659444	1	   10	  1	   10	OH349.675+00.320	1612	D	17 17 14.033	-37 23 47.74	 -23.5	  -6.0	 1.50	 -14.7	  8.8	 	   0.618	  1.045	        	       	SEV97A	0	0	1997A&AS..122...79S	OH349.675+00.320
259.58287083	-32.45610000	 	  287	  1	 5396	OH353.844+02.984	1612	S	17 18 19.889	-32 27 21.96	  25.3	      	 1.50	  25.3	     	 	   1.350	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.844+02.984
259.79235833	-37.46446111	1	   12	  1	   12	OH349.841-00.033	1612	D	17 19 10.166	-37 27 52.06	 -81.9	 -54.1	 1.50	 -68.0	 13.9	 	   0.250	  0.343	        	       	SEV97A	0	0	1997A&AS..122...79S	OH349.841-00.033
259.87186250	-37.35981111	1	   13	  1	   13	OH349.963-00.025	1612	S	17 19 29.247	-37 21 35.32	  37.8	      	 1.50	  37.8	     	 	   2.081	       	        	       	SEV97A	0	0	1997A&AS..122...79S	OH349.963-00.025
259.91990000	-32.49769167	 	  155	  1	 5187	OH353.973+02.727	1612	D	17 19 40.776	-32 29 51.69	  73.5	 101.2	 1.50	  87.4	 13.9	 	   2.332	  1.615	        	       	SEV97A	0	0	1997A&AS..122...79S	OH353.973+02.727
259.92527917	-37.91532222	1	   15	  1	   15	OH349.532-00.378	1612	D	17 19 42.067	-37 54 55.16	 -83.3	 -74.6	 1.50	 -79.0	  4.4	 	   0.386	  0.426	        	       	SEV97A	0	0	1997A&AS..122...79S	OH349.532-00.378
260.01969167	-37.04650000	1	   16	  1	   16	OH350.287+00.058	1612	D	17 20 04.726	-37 02 47.40	  23.2	  52.4	 1.50	  37.8	 14.6	 	   0.461	  0.700	        	       	SEV97A	0	0	1997A&AS..122...79S	OH350.287+00.058
260.06269583	-37.65953056	 	  158	  1	 5193	OH349.804-00.321	1612	D	17 20 15.047	-37 39 34.31	 -19.1	   7.2	 1.50	  -6.0	 13.1	 	  10.886	  8.789	        	       	SEV97A	0	0	1997A&AS..122...79S	OH349.804-00.321
