#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-18T17:08:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611d3bc2368c7a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-out.add=_RA*-c.eq,_DE*-c.eq
#-sort=_r
#-nav=cat:J/A+A/582/A68&tab:{J/A+A/582/A68/maps}&key:source=J/A+A/582/A68/maps&HTTPPRM:&&-ref=VIZ611d3bc2368c7a&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-out.add=_RA*-c.eq,_DE*-c.eq&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/582/A68/maps
#-order=I
#-out=IDmeas
#-out=Pap
#-out=ID
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Freq
#-out=Inst
#-out=Res
#-out=Flag
#-out=rms
#-out=Pol
#-out=Nmaps
#-out=ObsdateS
#-out=ObsdateE
#-out=Ref
#-out=BibCode
#-out.all=2
#

#RESOURCE=yCat_35820068
#Name: J/A+A/582/A68
#Title: Database of circumstellar OH masers (Engels+, 2015)
#Table	J_A_A_582_A68_maps:
#Name: J/A+A/582/A68/maps
#Title: Interferometric OH maser observations (oh_maser_maps)
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IDmeas	(I5)	Observation identification number (1)	[ucd=meta.id;obs]
#Column	Pap	(I3)	Reference identification number (1)	[ucd=meta.bib]
#Column	ID	(I5)	Object identification number (1)	[ucd=meta.id]
#Column	Name	(a15)	Object name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	Freq	(I4)	Frequency	[ucd=em.freq]
#Column	Inst	(A6)	Name of radio interferometer	[ucd=meta.id;instr]
#Column	Res	(F6.1)	? Spatial resolution	[ucd=pos.angResolution]
#Column	Flag	(A1)	[<] Limit flag for detected maser emission (2)	[ucd=meta.code.error]
#Column	rms	(F6.3)	? Sensitivity of the observation	[ucd=instr.det.noise]
#Column	Pol	(A1)	[1/0] Marker for polarization observations (3)	[ucd=meta.code]
#Column	Nmaps	(I3)	Number of interferometric maps	[ucd=meta.number]
#Column	ObsdateS	(A10)	Observing date of the first map (4)	[ucd=time.epoch]
#Column	ObsdateE	(A10)	Observing date of the last map (4)	[ucd=time.epoch]
#Column	Ref	(A6)	Acronym of the reference (1)	[ucd=meta.ref;pos.frame]
#Column	BibCode	(A19)	Bibliographic Code	[ucd=meta.bib.bibcode]
_RAJ2000	_DEJ2000	IDmeas	Pap	ID	Name	RAJ2000	DEJ2000	Freq	Inst	Res	Flag	rms	Pol	Nmaps	ObsdateS	ObsdateE	Ref	BibCode
deg	deg	 	 	 	 	"h:m:s"	"d:m:s"	MHz	 	mas	 	mJy	 	 	"Y:M:D"	"Y:M:D"	 	
------------	------------	-----	---	-----	---------------	------------	------------	----	------	------	-	------	-	---	----------	----------	------	-------------------
302.61612500	 -6.27041667	26192	253	 5942	IRC -10529     	20 10 27.870	-06 16 13.50	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
286.59270833	 +8.23000000	26191	253	  948	R Aql          	19 06 22.250	+08 13 48.00	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
284.36250000	 +2.19666667	26190	253	  765	OH 1854+02     	18 57 27.000	+02 11 48.00	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
280.09129167	 -4.95297222	26189	253	  691	OH 1837-05     	18 40 21.910	-04 57 10.70	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
276.02250000	-12.43666667	26188	253	  611	OH 1821-12     	18 24 05.400	-12 26 12.00	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
088.95487500	+20.17525000	26186	253	 5411	U Ori          	05 55 49.170	+20 10 30.90	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
207.25830833	-28.36737778	26183	252	 9622	W Hya          	13 49 01.994	-28 22 02.56	1667	VLA   	2200.0	 	      	0	  1	1978-05-25	1978-05-25	REI81 	1981AJ.....86..897R
016.60825000	+12.59805556	26184	253	25736	IRC +10011     	01 06 25.980	+12 35 53.00	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
077.83100000	+52.87588889	26185	253	25470	IRC +50137     	05 11 19.440	+52 52 33.20	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
264.80575000	-32.19905556	26187	253	   97	OH 1735-32     	17 39 13.380	-32 11 56.60	1612	VLBI  	  45.0	 	      	0	  1	1973-04-07	1973-04-07	MOR77 	1977ApJ...211..160M
285.52607917	 +3.33763056	25455	221	  777	OH 37.1-0.8    	19 02 06.259	+03 20 15.47	1612	MERLIN	 300.0	 	 0.009	1	  1	2007-05-07	2007-05-07	AMI11 	2011A&A...532A.149A
274.20510833	-18.25043611	25454	221	  577	OH 12.8-0.9    	18 16 49.226	-18 15 01.57	1612	MERLIN	 300.0	 	 0.006	1	  1	2007-06-04	2007-06-04	AMI11 	2011A&A...532A.149A
110.74290000	-25.76735556	26147	247	25477	VY CMa         	07 22 58.296	-25 46 02.48	1612	VLA   	1500.0	 	 0.025	0	  1	1980-05-29	1980-05-29	BAU81 	1981ApJ...250L..79B
079.95969167	+63.26551944	26146	247	25623	IRC +60154     	05 19 50.326	+63 15 55.87	1612	VLA   	1500.0	 	 0.025	0	  1	1980-05-29	1980-05-29	BAU81 	1981ApJ...250L..79B
016.60802500	+12.59815000	26145	247	25736	IRC +10011     	01 06 25.926	+12 35 53.34	1612	VLA   	1500.0	 	 0.025	0	  1	1980-05-29	1980-05-29	BAU81 	1981ApJ...250L..79B
088.95487500	+20.17519167	26143	246	 5411	U Ori          	05 55 49.170	+20 10 30.69	1612	MERLIN	 300.0	 	 0.200	0	  1	1982-12-01	1982-12-01	CHA85 	1985MNRAS.212..375C
