#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T21:35:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&cat:J/A+AS/127/185&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&tab:{J/A+A/431/779/tablea1}&tab:{J/A+A/431/779/tablea2}&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/431/779/tablea1,J/A+A/431/779/tablea2
#-order=I
#-out=IRAS
#-out=IRAS_data
#IRAS_data=IRAS_data
#-out=RAJ2000
#-out=DEJ2000
#-out=oRA(CA-IRAS)
#-out=oDE(CA-IRAS)
#-out=oRA(MSX-IRAS)
#-out=oDE(MSX-IRAS)
#-out=oRA(VLA-IRAS)
#-out=oDE(VLA-IRAS)
#-out=MSX6C_G
#-out=HJD
#-out=l_Jmag
#-out=Jmag
#-out=e_Jmag
#-out=l_Hmag
#-out=Hmag
#-out=e_Hmag
#-out=n_Hmag
#-out=l_Kmag
#-out=Kmag
#-out=e_Kmag
#-out=n_Kmag
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_34310779
#Name: J/A+A/431/779
#Title: Optical/near-IR atlas of OH/IR stars (Jimenez-Esteban+ 2005)
#Table	J_A_A_431_779_tablea1:
#Name: J/A+A/431/779/tablea1
#Title: Astrometric information derived for the sources for which an optical/NIR counterpart was found.
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IRAS	(a10)	IRAS name	[ucd=]
#Column	RAJ2000	(A10)	Improved right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Improved declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	oRA(CA-IRAS)	(I3)	? Distance Calar Alto/IRAS (RA) [NULL integer written as an empty string]	[ucd=]
#Column	oDE(CA-IRAS)	(I3)	? Distance Calar Alto/IRAS (DE) [NULL integer written as an empty string]	[ucd=]
#Column	oRA(MSX-IRAS)	(I3)	? Distance MSX/IRAS (RA) [NULL integer written as an empty string]	[ucd=]
#Column	oDE(MSX-IRAS)	(I3)	? Distance MSX/IRAS (DE) [NULL integer written as an empty string]	[ucd=]
#Column	oRA(VLA-IRAS)	(I3)	? Distance VLA/IRAS (RA) [NULL integer written as an empty string]	[ucd=]
#Column	oDE(VLA-IRAS)	(I3)	? Distance VLA/IRAS (DE) [NULL integer written as an empty string]	[ucd=]
#Column	MSX6C_G	(a16)	MSX6C_G name (MSX6C GLLL.llll+BB.bbbb), Cat. <V/114>	[ucd=]
_RAJ2000	_DEJ2000	IRAS	RAJ2000	DEJ2000	oRA(CA-IRAS)	oDE(CA-IRAS)	oRA(MSX-IRAS)	oDE(MSX-IRAS)	oRA(VLA-IRAS)	oDE(VLA-IRAS)	MSX6C_G
deg	deg	 	"h:m:s"	"d:m:s"	arcsec	arcsec	arcsec	arcsec	arcsec	arcsec	
----------	----------	----------	----------	---------	---	---	---	---	---	---	----------------
016.608333	+12.598056	01037+1219	01 06 26.0	+12 35 53	  1	 -1	   	   	   	   	
017.816250	+30.635000	01085+3022	01 11 15.9	+30 38 06	  0	  1	   	   	   	   	
040.818750	+22.059722	02404+2150	02 43 16.5	+22 03 35	 -3	  1	   	   	   	   	
041.189583	+12.317500	02420+1206	02 44 45.5	+12 19 03	  7	  3	   	   	   	   	
044.364583	+11.301667	02547+1106	02 57 27.5	+11 18 06	  4	  2	   	   	   	   	
058.370417	+11.406111	03507+1115	03 53 28.9	+11 24 22	  4	  2	   	   	   	   	
194.662083	+23.139167	12562+2324	12 58 38.9	+23 08 21	  3	 -2	   	   	   	   	
227.107083	 +9.605000	15060+0947	15 08 25.7	+09 36 18	  0	  1	   	   	   	   	
232.182083	 +3.828611	15262+0400	15 28 43.7	+03 49 43	 -1	  0	   	   	 -1	  0	
246.447917	+18.892500	16235+1900	16 25 47.5	+18 53 33	 -1	  3	   	   	   	   	
253.200833	 +5.407500	16503+0529	16 52 48.2	+05 24 27	  6	  0	   	   	   	   	
253.693750	 +7.674167	16523+0745	16 54 46.5	+07 40 27	  0	  0	   	   	   	   	
254.550417	+22.797222	16560+2252	16 58 12.1	+22 47 50	 -6	  2	   	   	   	   	
256.823333	+17.172778	17050+1714	17 07 17.6	+17 10 22	  1	  1	   	   	   	   	
261.402500	 +1.184722	17230+0113	17 25 36.6	+01 11 05	  3	  1	   	   	  2	  1	
262.034583	 +5.038333	17256+0504	17 28 08.3	+05 02 18	  0	  1	   	   	  0	  1	
263.307917	 +8.344722	17308+0822	17 33 13.9	+08 20 41	  4	  3	   	   	  4	  1	
264.111667	 +0.826111	17338+0051	17 36 26.8	+00 49 34	  3	  0	   	   	   	   	
268.807500	+11.729444	17528+1144	17 55 13.8	+11 43 46	  1	  0	   	   	  0	  0	
269.332083	+29.774722	17554+2946	17 57 19.7	+29 46 29	  0	  0	   	   	   	   	
270.016667	+23.593611	17579+2335	18 00 04.0	+23 35 37	  3	  1	   	   	  1	  1	
271.360833	+22.501111	18033+2229	18 05 26.6	+22 30 04	 29	  6	   	   	   	   	
272.327083	 +9.204444	18069+0911	18 09 18.5	+09 12 16	  0	  0	   	   	  0	 -1	
272.352917	+34.772222	18076+3445	18 09 24.7	+34 46 20	  2	  3	   	   	   	   	
272.743750	 +7.885833	18085+0752	18 10 58.5	+07 53 09	-10	  1	   	   	   	   	
272.878333	+27.087222	18095+2704	18 11 30.8	+27 05 14	  3	  0	   	   	   	   	
272.947917	+31.472222	18099+3127	18 11 47.5	+31 28 20	 -7	  2	   	   	   	   	
273.705833	 +5.215556	18123+0511	18 14 49.4	+05 12 56	  0	  1	   	   	   	   	
274.890000	 +3.913889	18170+0353	18 19 33.6	+03 54 50	  5	  2	   	   	  3	  1	
275.683333	 +7.415278	18203+0723	18 22 44.0	+07 24 55	  3	  1	   	   	   	   	
276.152500	+12.321111	18223+1217	18 24 36.6	+12 19 16	-10	 -2	   	   	   	   	
276.388750	 +8.946389	18231+0855	18 25 33.3	+08 56 47	 -7	 -1	   	   	   	   	
276.528333	 +7.142500	18236+0706	18 26 06.8	+07 08 33	 -4	 -3	   	   	   	   	
276.462917	+21.870556	18237+2150	18 25 51.1	+21 52 14	 15	  3	   	   	   	   	
276.933333	 +0.420000	18251+0023	18 27 44.0	+00 25 12	  2	 -1	   	   	   	   	
276.962083	 +7.872500	18254+0750	18 27 50.9	+07 52 21	  3	  2	   	   	  1	  2	
277.154167	 +9.613889	18262+0934	18 28 37.0	+09 36 50	  4	  3	   	   	   	   	
277.394167	 +3.470000	18270+0326	18 29 34.6	+03 28 12	  2	  0	   	   	  1	  0	
277.514583	 +8.690556	18276+0839	18 30 03.5	+08 41 26	  2	  2	   	   	   	   	
277.550417	 +9.562222	18278+0931	18 30 12.1	+09 33 44	  0	  2	   	   	   	   	
278.313750	 +1.077500	18307+0102	18 33 15.3	+01 04 39	  9	  3	  6	  0	  8	  4	031.8158+04.5372
278.585833	 +1.886667	18318+0150	18 34 20.6	+01 53 12	 11	 -1	  5	 -4	   	   	032.6625+04.6642
278.927083	 +9.094167	18333+0903	18 35 42.5	+09 05 39	 -3	  1	   	   	 -5	 -2	
279.170000	 +0.134167	18341+0005	18 36 40.8	+00 08 03	 -3	  1	 -6	 -5	   	   	031.3652+03.3445
279.285833	+11.271111	18347+1113	18 37 08.6	+11 16 16	 -2	  1	   	   	   	   	
279.330417	+10.428333	18349+1023	18 37 19.3	+10 25 42	 -3	  1	   	   	   	   	
279.482500	 +0.392222	18353+0020	18 37 55.8	+00 23 32	 -2	  1	 -2	 -3	   	   	031.7390+03.1839
279.528333	 +2.499444	18355+0227	18 38 06.8	+02 29 58	 19	  1	 13	  2	   	   	033.6401+04.1048
279.677083	 +5.691389	18362+0538	18 38 42.5	+05 41 29	  7	  2	   	   	   	   	
279.998750	 +5.220556	18375+0510	18 39 59.7	+05 13 14	 -3	  2	 -3	  4	   	   	036.2878+04.9180
280.183750	 +0.395000	18381+0020	18 40 44.1	+00 23 42	 -9	  3	 -9	 -1	   	   	032.0617+02.5609
280.513333	 +1.553889	18395+0130	18 42 03.2	+01 33 14	  9	  2	  4	  2	  8	  3	033.2453+02.7975
280.538333	 +8.021667	18397+0758	18 42 09.2	+08 01 18	 11	  6	   	   	   	   	
280.565833	 +7.524722	18398+0728	18 42 15.8	+07 31 29	  5	 -1	   	   	  5	  2	
280.541667	+10.648611	18398+1035	18 42 10.0	+10 38 55	  0	  1	   	   	   	   	
280.653333	 +1.434444	18400+0123	18 42 36.8	+01 26 04	  0	  1	 -3	  1	   	   	033.2027+02.6181
280.814583	 +3.885833	18407+0350	18 43 15.5	+03 53 09	  3	  1	  4	  7	   	   	035.4648+03.5886
280.791250	 +6.079722	18407+0601	18 43 09.9	+06 04 47	  7	  0	  6	  2	   	   	037.4142+04.6027
