#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T19:05:10 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=45	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+A/446/773/hasIR,J/A+A/446/773/table4
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&cat:J/A+AS/127/185&cat:J/A+A/391/967&cat:J/A+A/446/773&tab:{J/A+A/446/773/hasIR}&tab:{J/A+A/446/773/table4}&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-x.rs=10&-order=I&-out=GLMP&-out=IRAS&-out=2M&-out=RAJ2000&-out=DEJ2000&-out=oRA.2M&-out=oDE.2M&-out=oRA.MSX&-out=oDE.MSX&-out=MSX6CG&-out.all=2&-out=Opt&-out=GLMPdata&-ignore=GLMPdata=*&GLMPdata=GLMPdata&-out=2MASS&2MASS=2MASS&-out=Simbad&Simbad=Simbad&-out=n_Jmag&-out=f_Jmag&-out=l_Jmag&-out=Jmag&-out=e_Jmag&-out=n_Hmag&-out=f_Hmag&-out=l_Hmag&-out=Hmag&-out.all=2&-out=e_Hmag&-out=n_Kmag&-out=f_Kmag&-out=l_Kmag&-out=Kmag&-out=e_Kmag&-out=f_IRAS&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/446/773/hasIR,J/A+A/446/773/table4
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=J/A+A/446/773/hasIR J/A+A/446/773/table4
#-out=GLMP
#-out=IRAS
#-out=2M
#-out=RAJ2000
#-out=DEJ2000
#-out=oRA.2M
#-out=oDE.2M
#-out=oRA.MSX
#-out=oDE.MSX
#-out=MSX6CG
#-out=Opt
#-out=GLMPdata
#-out=2MASS
#-out=Simbad
#-out=n_Jmag
#-out=f_Jmag
#-out=l_Jmag
#-out=Jmag
#-out=e_Jmag
#-out=n_Hmag
#-out=f_Hmag
#-out=l_Hmag
#-out=Hmag
#-out=e_Hmag
#-out=n_Kmag
#-out=f_Kmag
#-out=l_Kmag
#-out=Kmag
#-out=e_Kmag
#-out=f_IRAS
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_34460773
#Name: J/A+A/446/773
#Title: GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006)
#Table	J_A_A_446_773_hasIR:
#Name: J/A+A/446/773/hasIR
#Title: Astrometry and near-IR photometry of GLMP  sources for which a near infrared counterpart was found
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	GLMP	(I3)	GLMP number (Cat. J/A+AS/126/479)	[ucd=meta.id;meta.main]
#Column	IRAS	(a10)	IRAS name	[ucd=meta.id]
#Column	2M	(A1)	[*] Tentative 2MASS identification	[ucd=meta.code]
#Column	RAJ2000	(A11)	2MASS right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	2MASS declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	oRA.2M	(I3)	Relative distance between 2MASS and IRAS (RA)	[ucd=pos.eq.ra;arith.diff]
#Column	oDE.2M	(I3)	Relative distance between 2MASS and IRAS (Dec)	[ucd=pos.eq.dec;arith.diff]
#Column	oRA.MSX	(I3)	? Relative distance between MSX and IRAS (RA) [NULL integer written as an empty string]	[ucd=pos.eq.ra;arith.diff]
#Column	oDE.MSX	(I3)	? Relative distance between MSX and IRAS (Dec) [NULL integer written as an empty string]	[ucd=pos.eq.dec;arith.diff]
#Column	MSX6CG	(a16)	MSX name (MSX6C GLLL.llll+BB.bbbb)	[ucd=meta.id]
#Column	Opt	(A2)	[**] Shows optical counterpart	[ucd=meta.note]
#Column	GLMPdata	(a8)	Data from the Garcia-Lario et al. catalog (J/A+AS/126/479)	[ucd=meta.ref.url]
#Column	2MASS	(a5)	2MASS closest sources (from Catalog II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	n_Jmag	(A1)	[* ] Accuracy of the J photometry is affected by blending according to 2MASS catalogue	[ucd=meta.note]
#Column	f_Jmag	(A2)	[* ] J photometry obtained from the 2MASS images	[ucd=meta.code]
#Column	l_Jmag	(A1)	Upper or lower limit indicator	[ucd=meta.code.error;phot.mag;em.IR.J]
#Column	Jmag	(F5.2)	J magnitude	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F5.2)	? J magnitude uncertainty	[ucd=stat.error;phot.mag;em.IR.J]
#Column	n_Hmag	(A1)	[* ] Accuracy of the H photometry is affected by blending according to 2MASS catalogue	[ucd=meta.note]
#Column	f_Hmag	(A2)	[* ] H photometry obtained from the 2MASS images	[ucd=meta.code]
#Column	l_Hmag	(A1)	Upper or lower limit indicator	[ucd=meta.code.error;phot.mag;em.IR.H]
#Column	Hmag	(F5.2)	H magnitude	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F5.2)	? H magnitude uncertainty	[ucd=stat.error;phot.mag;em.IR.H]
#Column	n_Kmag	(A1)	[* ] Accuracy of the K photometry is affected by blending according to 2MASS catalogue	[ucd=meta.note]
#Column	f_Kmag	(A2)	[* ] K photometry obtained from 2MASS images	[ucd=meta.code]
#Column	l_Kmag	(A1)	Upper or lower limit indicator	[ucd=meta.code.error;phot.mag;em.IR.K]
#Column	Kmag	(F5.2)	K magnitude	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	? K magnitude uncertainty	[ucd=stat.error;phot.mag;em.IR.K]
_RAJ2000	_DEJ2000	GLMP	IRAS	2M	RAJ2000	DEJ2000	oRA.2M	oDE.2M	oRA.MSX	oDE.MSX	MSX6CG	Opt	GLMPdata	2MASS	Simbad	n_Jmag	f_Jmag	l_Jmag	Jmag	e_Jmag	n_Hmag	f_Hmag	l_Hmag	Hmag	e_Hmag	n_Kmag	f_Kmag	l_Kmag	Kmag	e_Kmag
deg	deg	 	 	 	"h:m:s"	"d:m:s"	arcsec	arcsec	arcsec	arcsec	 	 	 	 	 	 	 	 	mag	mag	 	 	 	mag	mag	 	 	 	mag	mag
-----------	-----------	---	----------	-	-----------	-----------	---	---	---	---	----------------	--	--------	-----	------	-	--	-	-----	-----	-	--	-	-----	-----	-	--	-	-----	-----
131.0181667	-51.4616389	228	08425-5116	*	08 44 04.36	-51 27 41.9	  3	  0	  2	 -1	269.4419-05.4504	  	GLMPdata	2MASS	Simbad	 	  	 	13.79	 0.03	 	  	 	12.19	 0.03	 	  	 	10.83	 0.02
176.5583333	-63.7872778	309	11438-6330	 	11 46 14.00	-63 47 14.2	 -2	  2	 -2	  3	295.8065-01.8214	  	GLMPdata	2MASS	Simbad	 	  	>	17.00	     	 	  	 	14.96	 0.09	 	  	 	 9.05	 0.02
184.6478333	-65.0039444	320	12158-6443	*	12 18 35.48	-65 00 14.2	  2	 -3	  3	 -3	299.4688-02.3533	  	GLMPdata	2MASS	Simbad	 	  	 	12.77	 0.02	 	  	 	10.96	 0.02	 	  	 	 9.77	 0.02
189.7014583	-63.6609444	333	12358-6323	 	12 38 48.35	-63 39 39.4	 -1	  1	  0	  0	301.5309-00.8231	  	GLMPdata	2MASS	Simbad	 	  	>	14.00	     	 	  	>	13.00	     	 	  	 	12.06	 0.04
217.1280417	-62.0265833	382	14247-6148	 	14 28 30.73	-62 01 35.7	  0	  0	  3	  0	314.0494-01.2684	  	GLMPdata	2MASS	Simbad	 	  	 	13.34	 0.03	 	  	 	10.27	 0.02	 	  	 	 8.12	 0.02
225.0099583	-56.8289444	398	14562-5637	*	15 00 02.39	-56 49 44.2	  6	 -3	  7	 -2	319.8669+01.7534	  	GLMPdata	2MASS	Simbad	 	  	 	15.20	 0.07	*	  	 	13.73	     	*	  	 	13.20	
237.6680417	-46.7213611	430	15471-4634	 	15 50 40.33	-46 43 16.9	  2	 -1	 -2	 -3	331.9853+05.7905	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	 	15.60	 0.16	 	  	 	11.95	 0.03
238.8380417	-53.5457222	435	15514-5323	 	15 55 21.13	-53 32 44.6	-26	  8	-22	 10	328.2246+00.0418	  	GLMPdata	2MASS	Simbad	 	  	 	15.11	 0.04	 	  	 	11.62	 0.03	 	  	 	10.04	 0.02
241.9144583	-47.2739722	447	16040-4708	*	16 07 39.47	-47 16 26.3	  3	 -2	  3	 -2	333.8253+03.4834	  	GLMPdata	2MASS	Simbad	 	  	 	15.87	 0.09	 	  	 	14.18	 0.09	 	  	 	12.75	 0.04
246.4245417	-48.5094167	463	16219-4823	 	16 25 41.89	-48 30 33.9	 -1	  0	  0	 -1	335.1416+00.4939	  	GLMPdata	2MASS	Simbad	 	  	>	15.00	     	 	  	>	14.00	     	 	  	 	11.33	 0.04
255.3742917	-31.0719444	503	16582-3059	 	17 01 29.83	-31 04 19.0	 -6	  0	   	   	                	  	GLMPdata	2MASS	Simbad	 	  	>	17.00	     	 	  	>	16.00	     	 	  	 	13.56	 0.05
255.9832083	-41.4002222	508	17004-4119	*	17 03 55.97	-41 24 00.8	  1	  2	 -2	  0	344.9293+00.0136	**	GLMPdata	2MASS	Simbad	 	  	 	15.89	 0.10	 	  	 	13.23	 0.05	*	  	 	11.52	
256.5586250	-30.9606389	517	17030-3053	 	17 06 14.07	-30 57 38.3	 -2	  0	 -3	  2	353.5472+05.9448	  	GLMPdata	2MASS	Simbad	 	  	>	17.00	     	 	  	>	16.00	     	 	  	 	12.50	 0.03
258.5210833	-33.5661111	532	17107-3330	 	17 14 05.06	-33 33 58.0	 -2	 -1	 -4	 -2	352.4216+03.0672	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	 	13.86	 0.05	 	  	 	10.10	 0.03
259.6239167	-36.7686667	541	17151-3642	*	17 18 29.74	-36 46 07.2	 -5	  5	 -4	  0	350.3340+00.4777	  	GLMPdata	2MASS	Simbad	 	  	>	13.00	     	 	**	 	12.50	 0.50	 	**	 	11.50	 0.50
260.0843750	-29.9730000	548	17171-2955	 	17 20 20.25	-29 58 22.8	 -3	  1	 -3	 -1	356.1310+04.0515	**	GLMPdata	2MASS	Simbad	 	  	 	14.71	 0.08	 	  	 	13.68	 0.09	 	**	 	11.20	 0.10
261.9110417	-39.0361389	564	17242-3859	*	17 27 38.65	-39 02 10.1	 12	 -2	 12	 -1	349.4829-02.2940	**	GLMPdata	2MASS	Simbad	 	  	>	13.00	     	 	  	>	12.00	     	 	  	 	11.70	 0.04
262.7014583	-28.8171389	573	17276-2846	*	17 30 48.35	-28 49 01.7	  3	  1	  5	 -2	358.3668+02.8054	  	GLMPdata	2MASS	Simbad	 	  	 	10.89	 0.04	*	  	 	 9.47	     	*	  	 	 8.79	
263.7395833	-35.4312778	582	17316-3523	 	17 34 57.50	-35 25 52.6	  6	  0	  6	  1	353.2979-01.5367	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	>	14.00	     	 	  	 	13.01	 0.06
263.7613333	-33.5581667	583	17317-3331	 	17 35 02.72	-33 33 29.4	 -7	 -1	 -5	  0	354.8833-00.5384	  	GLMPdata	2MASS	Simbad	 	  	>	16.00	     	 	  	>	14.00	     	 	  	 	10.24	 0.03
264.3762083	-35.5179722	589	17341-3529	 	17 37 30.29	-35 31 04.7	-17	  3	-17	  4	353.5039-02.0204	  	GLMPdata	2MASS	Simbad	 	  	 	14.62	 0.06	 	  	 	11.28	 0.03	 	  	 	 9.06	 0.02
264.5368750	-24.2470278	594	17350-2413	 	17 38 08.85	-24 14 49.3	 -2	  0	 -3	  0	003.1080+03.8899	**	GLMPdata	2MASS	Simbad	 	  	>	14.00	     	 	  	>	13.00	     	 	  	 	11.01	 0.03
264.6095417	-34.5113889	595	17351-3429	*	17 38 26.29	-34 30 41.0	 -2	 -1	 -4	 -2	354.4579-01.6437	  	GLMPdata	2MASS	Simbad	 	  	>	14.00	     	 	  	>	13.00	     	 	  	 	11.98	 0.04
265.0317917	-36.5781667	604	17367-3633	*	17 40 07.63	-36 34 41.4	 -4	 -3	 -2	 -2	352.8880-03.0333	  	GLMPdata	2MASS	Simbad	 	  	>	14.00	     	 	  	>	13.00	     	 	  	 	12.52	 0.03
265.6283750	-30.3686944	619	17392-3020	*	17 42 30.81	-30 22 07.3	-22	 -2	-17	  0	358.4249-00.1744	  	GLMPdata	2MASS	Simbad	 	  	 	14.02	 0.06	 	  	 	11.60	 0.05	*	  	 	 9.12	
266.1661250	-16.5283611	626	17417-1630	 	17 44 39.87	-16 31 42.1	 -4	 -2	   	   	                	  	GLMPdata	2MASS	Simbad	 	  	>	17.00	     	 	  	 	14.32	 0.04	 	  	 	10.41	 0.02
266.4873750	-24.6660556	636	17428-2438	*	17 45 56.97	-24 39 57.8	 -2	 -2	 -3	 -2	003.6854+02.1592	  	GLMPdata	2MASS	Simbad	 	  	>	15.00	     	 	  	>	15.00	     	 	**	 	14.40	 0.20
