#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:49:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a88eed8b82	
#INFO	-out.max=unlimited	
#INFO	queryParameters=75	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/MNRAS/505/6051&tab:{J/MNRAS/505/6051/table1}&tab:{J/MNRAS/505/6051/table3}&tab:{J/MNRAS/505/6051/table5}&tab:{J/MNRAS/505/6051/table6}&key:source=J/MNRAS/505/6051&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/505/6051/table1,J/MNRAS/505/6051/table3,J/MNRAS/505/6051/table5,J/MNRAS/505/6051/table6
#-order=I
#-out=IRAS
#-out=OName
#-out=RAICRS
#-out=DEICRS
#-out=CRef
#-out=Group
#-out=Simbad
#Simbad=Simbad
#-out=JD
#-out=Filter
#-out=mag
#-out.all=2
#-out=e_mag
#-out=Origin
#-out=o_Jmag
#-out=AmpJ
#-out=JmagMean
#-out=o_Hmag
#-out=AmpH
#-out=HmagMean
#-out=o_Kmag
#-out=AmpK
#-out=KmagMean
#-out=o_Omag
#-out=AmpO
#-out.all=2
#-out=OmagMean
#-out=Survey
#-out=Bands
#-out=P
#-out=e_P
#-out=FitLCO
#-out=FitPerO
#-out=e_FitPerO
#-out=FitAmpO
#-out=FitOmagMean
#-out=FitAsyFactO
#-out=Fitt0O
#-out=FitLCJ
#-out.all=2
#-out=FitPerJ
#-out=e_FitPerJ
#-out=FitAmpJ
#-out=FitJmagMean
#-out=FitAsymFactJ
#-out=Fitt0J
#-out=FitLCH
#-out=FitPerH
#-out=e_FitPerH
#-out=FitAmpH
#-out=FitHmagMean
#-out=FitAsymFactH
#-out=Fitt0H
#-out.all=2
#-out=FitLCK
#-out=FitPerK
#-out=e_FitPerK
#-out=FitAmpK
#-out=FitKmagMean
#-out=FitAsymFactK
#-out=Fitt0K
#-out.all=2
#
#INFO	CatalogsExamined=4	
#  4 catalogues with potential matches were examined.
#

#RESOURCE=yCat_75056051
#Name: J/MNRAS/505/6051
#Title: Arecibo sample variability properties (Jimenez-Esteban+, 2021)
#Coosys	H:	ICRS
#Table	J_MNRAS_505_6051_table1:
#Name: J/MNRAS/505/6051/table1
#Title: Arecibo sources positions and classifications
#Column	_RAJ2000	(A14)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A14)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IRAS	(A10)	IRAS name (HHMMm+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	RAICRS	(F10.6)	ICRS (Hipparcos) Right Ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F10.6)	ICRS (Hipparcos) Declination (J2000.0 )	[ucd=pos.eq.dec;meta.main]
#Column	CRef	(A7)	Coordinates Source (AllWISE or 2MASS)	[ucd=meta.bib]
#Column	Group	(I1)	[1/4] Flag for groups (1)	[ucd=meta.code.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
_RAJ2000	_DEJ2000	IRAS	OName	RAICRS	DEICRS	CRef	Group	Simbad
"h:m:s"	"d:m:s"	 	 	deg	deg	 	 	
--------------	--------------	----------	------------------	----------	----------	-------	-	------
01 06 26.02100	+12 35 53.2300	01037+1219	IRC +10011        	 16.608421	+12.598119	AllWISE	1	Simbad
01 11 15.94900	+30 38 06.4500	01085+3022	IRC +30021        	 17.816454	+30.635125	AllWISE	1	Simbad
02 43 16.48000	+22 03 34.8800	02404+2150	YY Ari            	 40.818667	+22.059689	AllWISE	4	Simbad
02 44 45.53100	+12 19 03.2100	02420+1206	RU Ari            	 41.189712	+12.317558	AllWISE	1	Simbad
02 57 27.48400	+11 18 05.8300	02547+1106	YZ Ari            	 44.364517	+11.301619	AllWISE	1	Simbad
03 53 28.87000	+11 24 21.6600	03507+1115	IK Tau            	 58.370292	+11.406017	2MASS  	1	Simbad
04 42 21.31400	+06 52 40.3100	04396+0647	BZ Tau            	 70.588808	 +6.877864	AllWISE	1	Simbad
05 00 24.61100	+12 56 06.9200	04575+1251	                  	 75.102546	+12.935256	AllWISE	1	Simbad
05 31 24.89200	+19 47 19.4400	05284+1945	                  	 82.853717	+19.788733	AllWISE	3	Simbad
05 45 29.91400	+29 07 05.2300	05423+2905	                  	 86.374642	+29.118119	AllWISE	1	Simbad
05 53 43.56900	+24 14 44.7700	05506+2414	                  	 88.431537	+24.245769	AllWISE	4	Simbad
05 58 07.52400	+17 20 58.7500	05552+1720	                  	 89.531350	+17.349653	AllWISE	1	Simbad
06 26 37.29300	+09 02 15.2100	06238+0904	RAFGL  940        	 96.655387	 +9.037558	AllWISE	4	Simbad
06 34 35.67700	+04 12 45.3200	06319+0415	RAFGL  961        	 98.648654	 +4.212589	AllWISE	4	Simbad
06 52 47.04700	+08 25 18.7100	06500+0829	GX Mon            	103.196029	 +8.421864	AllWISE	1	Simbad
07 07 34.34800	+24 13 18.5700	07045+2418	                  	106.893117	+24.221825	AllWISE	1	Simbad
07 35 41.15600	+00 14 57.8500	07331+0021	AI CMi            	113.921483	 +0.249403	AllWISE	2	Simbad
07 57 09.28200	+21 19 09.6800	07542+2127	XY Gem            	119.288675	+21.319356	AllWISE	1	Simbad
09 45 34.30800	+34 30 42.8900	09425+3444	R LMi             	146.392950	+34.511914	AllWISE	1	Simbad
12 58 38.91600	+23 08 21.3900	12562+2324	T Com             	194.662150	+23.139275	AllWISE	1	Simbad
15 08 25.75100	+09 36 18.5900	15060+0947	FV Boo            	227.107296	 +9.605164	AllWISE	1	Simbad
15 28 43.67700	+03 49 43.0600	15262+0400	MW Ser            	232.181987	 +3.828628	AllWISE	1	Simbad
16 25 47.48800	+18 53 32.7800	16235+1900	U Her             	246.447867	+18.892439	AllWISE	1	Simbad
16 52 48.20100	+05 24 27.2400	16503+0529	RX Oph            	253.200837	 +5.407567	AllWISE	1	Simbad
16 54 46.41900	+07 40 26.8700	16523+0745	V970 Oph          	253.693412	 +7.674131	AllWISE	1	Simbad
16 58 12.11300	+22 47 50.0400	16560+2252	MV Her            	254.550471	+22.797233	AllWISE	1	Simbad
17 07 17.63700	+17 10 22.9300	17050+1714	VY Her            	256.823487	+17.173036	AllWISE	1	Simbad
17 25 36.53700	+01 11 05.9400	17230+0113	RAFGL 6826        	261.402237	 +1.184983	AllWISE	1	Simbad
17 28 08.32400	+05 02 18.2300	17256+0504	IRC +10329        	262.034683	 +5.038397	AllWISE	1	Simbad
17 33 13.90900	+08 20 38.9600	17308+0822	                  	263.307954	 +8.344156	AllWISE	1	Simbad
17 36 26.80100	+00 49 34.1100	17338+0051	                  	264.111671	 +0.826142	AllWISE	1	Simbad
17 55 13.70700	+11 43 46.1400	17528+1144	                  	268.807112	+11.729483	AllWISE	1	Simbad
17 57 19.74700	+29 46 28.5500	17554+2946	AU Her            	269.332279	+29.774597	AllWISE	1	Simbad
18 00 03.92000	+23 35 36.4400	17579+2335	IRC+20341         	270.016333	+23.593456	AllWISE	1	Simbad
18 05 26.63100	+22 30 03.7000	18033+2229	CZ Her            	271.360962	+22.501028	AllWISE	1	Simbad
18 09 18.57900	+09 12 15.1000	18069+0911	V2302 Oph         	272.327412	 +9.204194	AllWISE	1	Simbad
18 09 24.71500	+34 46 19.1200	18076+3445	                  	272.352979	+34.771978	AllWISE	1	Simbad
18 10 58.56600	+07 53 08.4600	18085+0752	XY Oph            	272.744025	 +7.885683	AllWISE	1	Simbad
18 11 30.65000	+27 05 15.7100	18095+2704	HD 335675         	272.877708	+27.087697	AllWISE	2	Simbad
18 11 47.50500	+31 28 19.7900	18099+3127	                  	272.947937	+31.472164	AllWISE	1	Simbad
18 14 49.38400	+05 12 55.7100	18123+0511	V2053 Oph         	273.705767	 +5.215475	AllWISE	2	Simbad
18 19 33.56900	+03 54 49.6700	18170+0353	                  	274.889871	 +3.913797	AllWISE	1	Simbad
18 22 43.96200	+07 24 54.9200	18203+0723	                  	275.683175	 +7.415256	AllWISE	1	Simbad
18 24 36.64300	+12 19 17.1000	18223+1217	                  	276.152679	+12.321417	AllWISE	1	Simbad
18 25 33.36700	+08 56 47.2000	18231+0855	                  	276.389029	 +8.946444	AllWISE	1	Simbad
18 26 06.82600	+07 08 33.2300	18236+0706	                  	276.528442	 +7.142564	AllWISE	1	Simbad
18 25 51.06000	+21 52 14.3900	18237+2150	                  	276.462750	+21.870664	AllWISE	1	Simbad
18 27 44.03600	+00 25 12.7800	18251+0023	                  	276.933483	 +0.420217	AllWISE	1	Simbad
18 27 50.78700	+07 52 20.4300	18254+0750	                  	276.961612	 +7.872342	AllWISE	1	Simbad
18 28 37.00600	+09 36 50.1300	18262+0934	                  	277.154192	 +9.613925	AllWISE	1	Simbad
