#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-15T01:34:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61186eff15356	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/127/501&tab:{J/AJ/127/501/t}&key:source=J/AJ/127/501&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/127/501/t
#-order=I
#-out=IRAS
#-out=f_IRAS
#-out=2MASS
#-out=MSX5C
#-out=Jmag
#-out=f_Jmag
#-out=Hmag
#-out=f_Hmag
#-out=Ksmag
#-out=f_Ksmag
#-out=J-Ks
#-out=rho
#-out=Obj
#-out=_RA
#-out=_DE
#-out.all=2
#

#RESOURCE=yCat_51270501
#Name: J/AJ/127/501
#Title: 2MASS counterparts for OH/IR stars (Lewis+, 2004)
#Table	J_AJ_127_501_t:
#Name: J/AJ/127/501/t
#Title: 2MASS Counterparts to Arecibo OH/IR Stars + YSOs
#Column	_RAJ2000	(A13)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A13)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IRAS	(a10)	IRAS (<II/125>) identification	[ucd=]
#Column	f_IRAS	(A1)	[*] Indicates a lower probability alternate in field at similar Sep	[ucd=]
#Column	2MASS	(a16)	2MASS (<II/246>) identification	[ucd=]
#Column	MSX5C	(a16)	MSX5 (<V/107>) catalog identification (not in table2.dat)	[ucd=]
#Column	Jmag	(F6.3)	2MASS J band magnitude	[ucd=]
#Column	f_Jmag	(A1)	[e] Indicates no flux error available in Jmag	[ucd=]
#Column	Hmag	(F6.3)	2MASS H band magnitude	[ucd=]
#Column	f_Hmag	(A1)	[e] Indicates no flux error available in Hmag	[ucd=]
#Column	Ksmag	(F6.3)	2MASS K_s_ band magnitude	[ucd=]
#Column	f_Ksmag	(A1)	[e] Indicates no flux error available in Ksmag	[ucd=]
#Column	J-Ks	(F6.3)	2MASS (J-Ks) color	[ucd=]
#Column	rho	(F5.2)	Angular separation	[ucd=]
#Column	Obj	(I1)	[1,2] 1=OH/IR star (table1 of paper), 2=Young Stellar Object (table2 of paper)	[ucd=]
#Column	_RA	(F9.5)	Position derived from 2MASS Name (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position derived from 2MASS Name (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	IRAS	f_IRAS	2MASS	MSX5C	Jmag	f_Jmag	Hmag	f_Hmag	Ksmag	f_Ksmag	J-Ks	rho	Obj	_RA	_DE
"h:m:s"	"d:m:s"	 	 	 	 	mag	 	mag	 	mag	 	mag	arcsec	 	deg	deg
-------------	-------------	----------	-	----------------	----------------	------	-	------	-	------	-	------	-----	-	---------	---------
01 06 25.9800	+12 35 53.000	01037+1219	 	01062598+1235530	                	 7.437	 	 4.641	 	 2.217	 	 5.220	 1.57	1	016.60825	+12.59806
02 44 45.4900	+12 19 02.900	02420+1206	 	02444549+1219029	                	 4.037	 	 3.210	 	 2.601	 	 1.436	 7.72	1	041.18954	+12.31747
05 00 24.6000	+12 56 06.600	04575+1251	 	05002460+1256066	                	 8.735	 	 6.425	 	 4.861	 	 3.874	10.25	1	075.10250	+12.93517
05 45 29.9200	+29 07 05.400	05423+2905	 	05452992+2907054	                	 5.117	 	 3.591	 	 2.460	 	 2.657	 2.78	1	086.37467	+29.11817
05 53 43.5600	+24 14 44.700	05506+2414	*	05534356+2414447	184.9546-00.8558	12.546	 	10.241	 	 8.333	 	 4.213	 0.92	1	088.43150	+24.24575
05 58 07.5000	+17 20 58.400	05552+1720	 	05580750+1720584	191.4392-03.4322	 7.902	 	 6.317	 	 5.328	 	 2.574	 2.65	1	089.53125	+17.34956
07 57 09.3600	+21 19 09.900	07542+2127	 	07570936+2119099	                	 5.059	 	 4.054	 	 3.606	 	 1.453	 0.65	1	119.28900	+21.31942
09 45 34.2900	+34 30 42.700	09425+3444	 	09453429+3430427	                	 1.710	 	 0.551	 	-0.077	 	 1.787	 4.79	1	146.39287	+34.51186
12 58 38.9100	+23 08 21.500	12562+2324	 	12583891+2308215	                	 4.967	 	 4.006	 	 3.270	 	 1.697	16.31	1	194.66212	+23.13931
16 27 51.3500	+34 48 10.500	16260+3454	 	16275135+3448105	                	 5.014	 	 3.657	 	 2.511	 	 2.503	 3.61	1	246.96396	+34.80292
17 07 17.6100	+17 10 22.800	17050+1714	 	17071761+1710228	                	 4.597	 	 3.600	 	 3.059	 	 1.538	 3.08	1	256.82337	+17.17300
17 31 28.7900	+32 29 52.500	17296+3231	 	17312879+3229525	                	 4.902	 	 3.687	 	 2.956	 	 1.946	 2.28	1	262.86996	+32.49792
17 57 19.7400	+29 46 28.600	17554+2946	 	17571974+2946286	                	 3.589	 	 2.787	 	 2.239	 	 1.350	 1.25	1	269.33225	+29.77461
18 05 26.6300	+22 30 03.900	18033+2229	*	18052663+2230039	                	 6.343	 	 5.468	 	 4.745	 	 1.598	29.81	1	271.36096	+22.50108
18 09 24.6700	+34 46 19.200	18076+3445	 	18092467+3446192	                	 7.612	 	 5.687	 	 4.404	 	 3.208	 3.74	1	272.35279	+34.77200
18 11 47.4900	+31 28 19.900	18099+3127	 	18114749+3128199	                	 6.083	 	 5.117	 	 4.267	 	 1.816	 6.39	1	272.94787	+31.47219
18 24 36.6500	+12 19 17.000	18223+1217	*	18243665+1219170	                	 6.601	 	 5.772	 	 5.176	 	 1.425	 9.26	1	276.15271	+12.32139
18 36 40.6700	+00 08 01.100	18341+0005	 	18364067+0008011	031.3668+03.3438	10.317	 	 7.699	 	 6.032	 	 4.285	 2.98	1	279.16946	+00.13364
18 46 13.3600	+22 20 10.900	18441+2216	 	18461336+2220109	                	 7.846	 	 6.792	 	 6.128	 	 1.718	 7.02	1	281.55567	+22.33636
