#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T18:37:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=33	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+AS/92/43/table2
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&tab:{J/A+AS/92/43/table2}&cat:J/A+AS/127/185&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=LWHM&-out=Source&-out=RA1950&-out=e_RA1950&-out=DE1950&-out=e_DE1950&-out=VH&-out=SH&-out=IH&-out=VL&-out.all=2&-out=SL&-out=IL&-out=C&-out=Vexp&-out=Vc&-out=Date&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+AS/92/43/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+AS/92/43/table2
#-out=LWHM
#-out=Source
#-out=RA1950
#-out=e_RA1950
#-out=DE1950
#-out=e_DE1950
#-out=VH
#-out=SH
#-out=IH
#-out=VL
#-out=SL
#-out=IL
#-out=C
#-out=Vexp
#-out=Vc
#-out=Date
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_40920043
#Name: J/A+AS/92/43
#Title: Radio Obs. of OH/IR stars close to Gal.Center (Lindqvist+ 1992)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_AS_92_43_table2:
#Name: J/A+AS/92/43/table2
#Title: OH/IR stars close to Galactic centre
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	LWHM	(A5)	Source Designation	[ucd=meta.id;meta.main]
#Column	Source	(A15)	OH name (galactic longitude & latitude)	[ucd=meta.id]
#Column	RA1950	(A12)	Right ascension for 1950	[ucd=pos.eq.ra;meta.main]
#Column	e_RA1950	(F6.3)	rms error of RA1950	[ucd=stat.error;pos.eq.ra]
#Column	DE1950	(A12)	Declination 1950	[ucd=pos.eq.dec;meta.main]
#Column	e_DE1950	(F5.2)	rms error of DE1950	[ucd=stat.error;pos.eq.dec]
#Column	VH	(F6.1)	? Radial velocity (LSR) of the high-velocity component	[ucd=spect.dopplerVeloc]
#Column	SH	(F5.2)	? Peak flux density of the high-velocity component	[ucd=phot.flux.density]
#Column	IH	(F5.2)	? Integrated 1612 MHz flux density of the high-velocity component	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	VL	(F6.1)	Radial velocity (LSR) of the low-velocity component	[ucd=phys.veloc]
#Column	SL	(F5.2)	? Peak flux density of the low-velocity component	[ucd=phot.flux.density]
#Column	IL	(F5.2)	? Integrated 1612 MHz flux density of the low-velocity component	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	C	(F5.2)	Correction factor due to the primary beam attenuation	[ucd=arith.factor]
#Column	Vexp	(F4.1)	? Expansion velocity of the shell =(VH-VL)/2	[ucd=phys.veloc.expansion]
#Column	Vc	(F6.1)	? Radial velocity (LSR) of the star = (VH+VL)/2	[ucd=spect.dopplerVeloc]
#Column	Date	(A10)	Date of observation	[ucd=time.epoch]
#Column	Remarks	(A4)	Comments on individual spectra	[ucd=meta.note]
#Column	_RA.icrs	(A12)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A12)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	LWHM	Source	RA1950	e_RA1950	DE1950	e_DE1950	VH	SH	IH	VL	SL	IL	C	Vexp	Vc	Date	Remarks	_RA.icrs	_DE.icrs
deg	deg	 	 	"h:m:s"	s	"d:m:s"	arcsec	km/s	Jy	Jy.km/s	km/s	Jy	Jy.km/s	 	km/s	km/s	"Y:M:D"	 	"h:m:s"	"d:m:s"
------------	------------	-----	---------------	------------	------	------------	-----	------	-----	-----	------	-----	-----	-----	----	------	----------	----	------------	------------
265.93939005	-29.43819292	  1  	OH359.360+0.084	17 40 34.091	 0.020	-29 24 59.55	 0.25	-198.9	 2.01	 4.75	-224.0	     	     	 3.34	12.6	-211.4	1985-06-20	H,V 	17 43 45.454	-29 26 17.49
265.97493621	-29.42327047	  2  	OH359.388+0.066	17 40 42.643	 0.025	-29 24 06.45	 0.32	-111.5	 0.43	 3.11	-146.7	 0.39	 1.62	 2.55	17.6	-129.1	1985-06-20	    	17 43 53.985	-29 25 23.77
266.02882090	-29.40460632	  3  	OH359.429+0.035	17 40 55.601	 0.019	-29 23 00.20	 0.25	  17.6	 1.33	 2.95	 -10.8	 2.09	 3.81	 1.87	14.2	   3.4	1985-06-25	H   	17 44 06.917	-29 24 16.58
266.11806380	-29.44279672	  4  	OH359.437-0.051	17 41 16.956	 0.027	-29 25 19.24	 0.34	-122.9	 0.15	 0.47	-153.5	 0.42	 0.84	 1.62	15.3	-138.2	1985-06-20	    	17 44 28.335	-29 26 34.07
266.33495037	-29.54933340	  5  	OH359.445-0.267	17 42 08.834	 0.031	-29 31 46.55	 0.42	 -90.0	 0.67	 1.74	-125.1	 0.20	 0.47	 2.87	17.6	-107.5	1985-06-20	    	17 45 20.388	-29 32 57.60
266.01952911	-29.33174740	  6  	OH359.487+0.081	17 40 53.483	 0.021	-29 18 37.75	 0.25	 -30.1	 0.22	 1.27	 -70.9	 0.24	 0.64	 1.64	20.4	 -50.5	1985-06-25	    	17 44 04.687	-29 19 54.29
266.13917493	-29.38507961	  7  	OH359.496-0.036	17 41 22.110	 0.025	-29 21 51.83	 0.31	-147.8	 0.24	 0.71	-180.7	 0.18	 0.49	 1.24	16.5	-164.2	1985-06-20	    	17 44 33.402	-29 23 06.29
266.16036260	-29.38960479	  8  	OH359.502-0.054	17 41 27.187	 0.025	-29 22 08.49	 0.36	-129.7	 0.36	 1.66	-162.6	 0.14	 0.90	 1.21	16.5	-146.1	1985-06-20	    	17 44 38.487	-29 23 22.58
265.93652614	-29.26226232	  9  	OH359.508+0.179	17 40 33.673	 0.036	-29 14 26.16	 0.39	-100.2	 0.23	 0.45	-139.9	 0.32	 0.60	 2.39	19.9	-120.0	1985-06-20	    	17 43 44.766	-29 15 44.14
265.94459908	-29.26033985	 10  	OH359.513+0.174	17 40 35.613	 0.020	-29 14 19.38	 0.28	 129.7	 0.52	 1.57	 109.2	 0.63	 1.46	 2.32	10.3	 119.5	1985-06-27	    	17 43 46.704	-29 15 37.22
266.11578256	-29.34723681	 11  	OH359.517+0.001	17 41 16.555	 0.022	-29 19 35.19	 0.27	-111.5	 1.54	 5.03	-145.6	 0.98	 4.33	 1.19	17.1	-128.5	1985-06-20	    	17 44 27.788	-29 20 50.05
266.24067965	-29.34514539	 12  	OH359.576-0.091	17 41 46.527	 0.024	-29 19 29.84	 0.31	 -36.9	 0.29	 1.44	 -74.1	 0.37	 0.99	 1.04	18.6	 -55.5	1985-06-25	    	17 44 57.763	-29 20 42.52
266.38962957	-29.41855515	 13  	OH359.581-0.240	17 42 22.155	 0.021	-29 23 56.71	 0.27	 -75.2	 0.98	 5.91	-103.6	 3.16	12.60	 1.64	14.2	 -89.4	1985-06-25	H   	17 45 33.511	-29 25 06.80
266.16503760	-29.27964427	 14  	OH359.598+0.000	17 41 28.477	 0.020	-29 15 32.72	 0.24	 -55.0	 0.40	 1.10	 -93.4	 0.48	 1.46	 1.03	19.2	 -74.2	1985-06-25	    	17 44 39.609	-29 16 46.72
266.38753289	-29.39043431	 15  	OH359.604-0.224	17 42 21.695	 0.021	-29 22 15.44	 0.26	 -30.1	 0.82	 3.09	 -65.3	 0.52	 2.34	 1.48	17.6	 -47.7	1985-06-25	    	17 45 33.008	-29 23 25.56
266.37702602	-29.34987071	 16  	OH359.634-0.195	17 42 19.236	 0.030	-29 19 49.23	 0.37	      	     	     	 209.1	 0.20	 0.60	 1.30	    	      	1985-06-27	O   	17 45 30.486	-29 20 59.53
266.29318400	-29.30355415	 17.1	OH359.636-0.108	17 41 59.189	 0.041	-29 17 01.03	 0.47	-116.1	 0.29	 1.11	-160.3	 0.52	 1.48	 4.12	22.1	-138.2	1984-03-03	    	17 45 10.364	-29 18 12.79
266.29316609	-29.30335979	 17.2	OH359.636-0.108	17 41 59.185	 0.020	-29 17 00.33	 0.25	-117.2	 0.24	 1.32	-160.3	 0.47	 1.88	 1.02	21.6	-138.7	1985-06-20	    	17 45 10.360	-29 18 12.09
