#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T18:46:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=42	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&cat:J/A+AS/127/185&tab:{J/A+AS/127/185/table1}&tab:{J/A+AS/127/185/table2}&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=IRAS&-out=Names&-out=RA1950&-out=DE1950&-out=Vlsr&-out=OH&-out=H2O&-out=SiO&-out=Type&-out=r_Type&-out.all=2&-out=_RA.icrs&-out=_DE.icrs&-out=HJD1&-out=rms1&-out=peak1&-out=Int1&-out=HJD2&-out=u_rms2&-out=rms2&-out=peak2&-out=Int2&-out=n_HJD3&-out=HJD3&-out=rms3&-out=peak3&-out=Int3&-out=RefNo&-out=Text&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+AS/127/185/table1,J/A+AS/127/185/table2,J/A+AS/127/185/refs&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/A+AS/127/185/table1 J/A+AS/127/185/table2
#-out=IRAS
#-out=Names
#-out=RA1950
#-out=DE1950
#-out=Vlsr
#-out=OH
#-out=H2O
#-out=SiO
#-out=Type
#-out=r_Type
#-out=_RA.icrs
#-out=_DE.icrs
#-out=HJD1
#-out=rms1
#-out=peak1
#-out=Int1
#-out=HJD2
#-out=u_rms2
#-out=rms2
#-out=peak2
#-out=Int2
#-out=n_HJD3
#-out=HJD3
#-out=rms3
#-out=peak3
#-out=Int3
#-out=RefNo
#-out=Text
#-out.src=J/A+AS/127/185/table1,J/A+AS/127/185/table2,J/A+AS/127/185/refs
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_41270185
#Name: J/A+AS/127/185
#Title: SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_AS_127_185_table1:
#Name: J/A+AS/127/185/table1
#Title: Source parameters
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id;meta.main]
#Column	Names	(a14)	Other name	[ucd=meta.id]
#Column	RA1950	(A10)	Right ascension (1950)	[ucd=pos.eq.ra;meta.main]
#Column	DE1950	(A9)	Declination (1950)	[ucd=pos.eq.dec;meta.main]
#Column	Vlsr	(I4)	LSR center velocity of the spectra	[ucd=phys.veloc;pos.lsr]
#Column	OH	(A1)	[x] x: Presence of OH	[ucd=meta.note]
#Column	H2O	(A1)	[x] x: Presence of H2O	[ucd=meta.note]
#Column	SiO	(A1)	[xX?] x: Presence of SiO, X: new detection	[ucd=meta.note]
#Column	Type	(a20)	Evolutionary status of the object (1)	[ucd=meta.code.status;time.age]
#Column	r_Type	(a8)	References detailed in table refs.dat	[ucd=meta.note]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	IRAS	Names	RA1950	DE1950	Vlsr	OH	H2O	SiO	Type	r_Type	_RA.icrs	_DE.icrs
deg	deg	 	 	"h:m:s"	"d:m:s"	km/s	 	 	 	 	 	"h:m:s"	"d:m:s"
----------	----------	----------	--------------	----------	---------	----	-	-	-	--------------------	--------	----------	---------
023.460798	+62.446403	01304+6211	OH 127.8-0.02 	01 30 27.0	+62 11 25	 -55	x	x	x	OH/IR               	1,5     	01 33 50.6	+62 26 47
051.285635	+65.534774	03206+6521	OH 138.0+7.2  	03 20 41.6	+65 21 31	 -37	x	 	x	OH/IR               	2,5     	03 25 08.6	+65 32 05
053.377221	+60.335801	03293+6010	OH 141.7+3.5  	03 29 23.6	+60 10 04	 -57	x	x	x	OH/IR               	2,6,9   	03 33 30.5	+60 20 09
069.805966	+25.888670	04361+2547	              	04 36 09.4	+25 47 27	   6	x	x	 	PMS?                	1       	04 39 13.4	+25 53 19
098.609190	 -5.060464	06319-0501	AFGL 5201     	06 31 58.3	-05 01 13	 -60	x	x	 	OH/IR               	1       	06 34 26.2	-05 03 38
103.883645	 -2.291698	06530-0213	              	06 53 00.9	-02 13 35	  28	x	 	 	PPN                 	1,10,11 	06 55 32.1	-02 17 30
104.864178	-79.646142	07027-7934	              	07 02 45.3	-79 34 22	 -27	x	 	 	PN                  	12      	06 59 27.4	-79 38 46
108.927540	 -1.878568	07131-0147	              	07 13 10.9	-01 47 23	   0	 	 	 	PPN                 	13      	07 15 42.6	-01 52 43
110.081612	-13.336767	07180-1314	AFGL 5229     	07 18 00.7	-13 14 33	   0	x	x	X	OH/IR               	2,9     	07 20 19.6	-13 20 12
115.570158	-14.714179	07399-1435	OH 231.8+4.2  	07 39 58.9	-14 35 43	  40	x	x	x	PPN                 	5,9,32  	07 42 16.8	-14 42 51
118.918307	-28.648830	07536-2830	HU Pup        	07 53 38.6	-28 30 55	   0	x	x	X	OH/IR               	2,9     	07 55 40.4	-28 38 56
119.211782	-59.124563	07559-5859	HR 3126       	07 55 54.5	-58 59 21	   0	 	 	 	PPN                 	28      	07 56 50.8	-59 07 28
120.669034	-24.078675	08005-2356	              	08 00 32.5	-23 56 16	   0	x	 	 	PPN                 	1,10,22 	08 02 40.6	-24 04 43
129.536745	-10.404707	08357-1013	OH 235.3+18.1 	08 35 44.5	-10 13 43	   0	x	x	X	?                   	2,9     	08 38 08.8	-10 24 17
144.971792	+11.981323	09371+1212	Frosty Leo    	09 37 11.2	+12 12 30	 -20	 	 	 	PPN                 	1,30,31 	09 39 53.2	+11 58 53
146.320925	-22.032301	09429-2148	IRC -20197    	09 42 58.3	-21 48 05	  40	x	x	x	OH/IR               	2,9,23  	09 45 17.0	-22 01 56
155.391582	-58.093830	10197-5750	Roberts 22    	10 19 45.1	-57 50 28	   0	x	 	 	PPN                 	3       	10 21 34.0	-58 05 38
175.244996	-55.573502	11385-5517	HD 101584     	11 38 33.6	-55 17 46	  40	x	 	 	PPN                 	29      	11 40 58.8	-55 34 25
178.526688	-62.311681	11516-6201	              	11 51 36.6	-62 02 00	  20	x	 	 	?                   	3       	11 54 06.4	-62 18 42
189.702175	-63.660631	12358-6323	              	12 35 53.0	-63 23 09	  -3	x	 	 	?                   	10,11   	12 38 48.5	-63 39 38
212.822819	 -7.747327	14086-0730	              	14 08 38.9	-07 30 45	 -26	x	 	X	OH/IR               	2,9     	14 11 17.5	-07 44 50
213.964300	-60.022478	14122-5947	              	14 12 14.0	-59 47 25	   0	 	 	 	PN                  	10,37   	14 15 51.4	-60 01 21
219.519339	-62.411335	14341-6211	              	14 34 10.7	-62 11 42	 -23	x	 	 	PPN                 	10,11   	14 38 04.6	-62 24 41
236.046741	-49.922375	15405-4945	              	15 40 32.1	-49 45 54	  50	x	 	 	PPN                 	14      	15 44 11.2	-49 55 21
241.534616	-30.826062	16029-3041	OH 345.0+15.7 	16 02 59.7	-30 41 30	  -4	x	 	x	?                   	2,9,41  	16 06 08.3	-30 49 34
243.126315	-53.054928	16086-5255	              	16 08 37.8	-52 55 37	   0	 	 	 	PPN                 	10      	16 12 30.3	-53 03 18
246.812563	-48.657561	16235-4832	Hen 1191      	16 23 31.8	-48 32 45	  -9	 	 	 	PPN                 	15      	16 27 15.0	-48 39 27
249.417191	-38.338156	16342-3814	              	16 34 17.1	-38 14 18	  50	x	 	 	PPN                 	14      	16 37 40.1	-38 20 17
254.784261	-30.028001	16559-2957	              	16 55 57.3	-29 57 11	  56	x	 	 	PPN                 	1,10,11 	16 59 08.2	-30 01 41
255.790579	-47.007773	16594-4656	              	16 59 26.7	-46 56 14	 -26	 	 	 	PPN                 	16      	17 03 09.7	-47 00 28
