IRAS 00170+6542 ,004.9384,+65.9733,00 19 45.2,+65 58 24,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 00428+6854 ,011.4840,+69.1765,00 45 56.2,+69 10 35,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 01037+1219 ,016.5863,+12.5873,01 06 20.7,+12 35 14,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 01085+3022 ,017.8120,+30.6283,01 11 14.9,+30 37 42,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 01280+0237 ,022.6460,+02.8711,01 30 35.0,+02 52 16,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 01572+5844 ,030.1655,+58.9801,02 00 39.7,+58 58 48,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 02192+5821 ,035.7043,+58.5727,02 22 49.0,+58 34 22,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 02420+1206 ,041.1812,+12.3103,02 44 43.5,+12 18 37,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 02547+1106 ,044.3541,+11.2953,02 57 25.0,+11 17 43,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 03074-8732 ,043.1458,-87.3362,02 52 35.0,-87 20 10,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 03287-1535 ,052.7547,-15.4130,03 31 01.1,-15 24 47,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 03336-7636 ,053.1072,-76.4287,03 32 25.7,-76 25 43,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 03507+1115 ,058.3673,+11.3973,03 53 28.1,+11 23 50,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 04140-8158 ,062.5666,-81.8608,04 10 16.0,-81 51 39,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 04209+4800 ,066.1543,+48.1121,04 24 37.0,+48 06 43,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 04312+1007 ,068.4877,+10.2194,04 33 57.1,+10 13 10,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 04396+0647 ,070.5721,+06.8760,04 42 17.3,+06 52 33,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 04404-7427 ,069.8111,-74.3519,04 39 14.7,-74 21 07,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 04505-1006 ,072.4710,-08.4970,04 49 53.1,-08 29 49,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 04575+1251 ,075.0767,+12.9217,05 00 18.4,+12 55 18,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 05073+5248 ,077.8225,+52.8574,05 11 17.4,+52 51 27,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 05098-6422 ,077.5250,-64.3086,05 10 06.0,-64 18 31,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 05131+4530 ,079.1893,+45.5533,05 16 45.4,+45 33 12,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 05151+6312 ,079.9620,+63.2578,05 19 50.9,+63 15 28,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 05345-4406 ,084.0010,-44.0674,05 36 00.2,-44 04 03,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 05423+2905 ,086.3682,+29.1040,05 45 28.4,+29 06 14,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 05443+2707 ,086.8635,+27.1343,05 47 27.2,+27 08 03,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 05528+2010 ,088.9449,+20.1757,05 55 46.8,+20 10 32,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 05552+1720 ,089.5295,+17.3359,05 58 07.1,+17 20 09,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 06297+4045 ,098.2870,+40.7085,06 33 08.9,+40 42 30,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 06300+6058 ,098.6319,+60.9299,06 34 31.7,+60 55 47,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 06423+0905 ,101.2617,+09.0359,06 45 02.8,+09 02 09,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 06500+0829 ,103.1786,+08.4200,06 52 42.9,+08 25 12,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 07045+2418 ,106.8876,+24.2266,07 07 33.0,+24 13 36,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 07054-1039 ,106.9391,-10.7301,07 07 45.4,-10 43 48,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 07080-5948 ,107.1781,-59.8852,07 08 42.7,-59 53 07,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 07113-2747 ,108.3280,-27.8642,07 13 18.7,-27 51 51,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 07180-1314 ,110.0777,-13.3321,07 20 18.7,-13 19 55,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
IRAS 07193-2826 ,110.3263,-28.5270,07 21 18.3,-28 31 37,Properties of OH/IR stars with IRAS LRS spectra (Chen+ 2001),J/A+A/368/1006
