IRAS 01037+1219, 16.608421,+12.598119,01 06 26.02100,+12 35 53.2300,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 01085+3022, 17.816454,+30.635125,01 11 15.94900,+30 38 06.4500,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 02404+2150, 40.818667,+22.059689,02 43 16.48000,+22 03 34.8800,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 02420+1206, 41.189712,+12.317558,02 44 45.53100,+12 19 03.2100,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 02547+1106, 44.364517,+11.301619,02 57 27.48400,+11 18 05.8300,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 03507+1115, 58.370292,+11.406017,03 53 28.87000,+11 24 21.6600,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 04396+0647, 70.588808, +6.877864,04 42 21.31400,+06 52 40.3100,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 04575+1251, 75.102546,+12.935256,05 00 24.61100,+12 56 06.9200,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 05284+1945, 82.853717,+19.788733,05 31 24.89200,+19 47 19.4400,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 05423+2905, 86.374642,+29.118119,05 45 29.91400,+29 07 05.2300,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 05506+2414, 88.431537,+24.245769,05 53 43.56900,+24 14 44.7700,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 05552+1720, 89.531350,+17.349653,05 58 07.52400,+17 20 58.7500,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 06238+0904, 96.655387, +9.037558,06 26 37.29300,+09 02 15.2100,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 06319+0415, 98.648654, +4.212589,06 34 35.67700,+04 12 45.3200,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 06500+0829,103.196029, +8.421864,06 52 47.04700,+08 25 18.7100,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 07045+2418,106.893117,+24.221825,07 07 34.34800,+24 13 18.5700,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 07331+0021,113.921483, +0.249403,07 35 41.15600,+00 14 57.8500,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 07542+2127,119.288675,+21.319356,07 57 09.28200,+21 19 09.6800,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 09425+3444,146.392950,+34.511914,09 45 34.30800,+34 30 42.8900,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 12562+2324,194.662150,+23.139275,12 58 38.91600,+23 08 21.3900,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 15060+0947,227.107296, +9.605164,15 08 25.75100,+09 36 18.5900,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 15262+0400,232.181987, +3.828628,15 28 43.67700,+03 49 43.0600,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 16235+1900,246.447867,+18.892439,16 25 47.48800,+18 53 32.7800,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 16503+0529,253.200837, +5.407567,16 52 48.20100,+05 24 27.2400,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 16523+0745,253.693412, +7.674131,16 54 46.41900,+07 40 26.8700,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 16560+2252,254.550471,+22.797233,16 58 12.11300,+22 47 50.0400,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
IRAS 17050+1714,256.823487,+17.173036,17 07 17.63700,+17 10 22.9300,Arecibo sample variability properties (Jimenez-Esteban+ 2021),J/MNRAS/505/6051
