IRAS 01304+6211,023.460798,+62.446403,01 33 50.6,+62 26 47,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 03206+6521,051.285635,+65.534774,03 25 08.6,+65 32 05,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 03293+6010,053.377221,+60.335801,03 33 30.5,+60 20 09,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 04361+2547,069.805966,+25.888670,04 39 13.4,+25 53 19,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 06319-0501,098.609190, -5.060464,06 34 26.2,-05 03 38,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 06530-0213,103.883645, -2.291698,06 55 32.1,-02 17 30,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 07027-7934,104.864178,-79.646142,06 59 27.4,-79 38 46,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 07131-0147,108.927540, -1.878568,07 15 42.6,-01 52 43,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 07180-1314,110.081612,-13.336767,07 20 19.6,-13 20 12,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 07399-1435,115.570158,-14.714179,07 42 16.8,-14 42 51,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 07536-2830,118.918307,-28.648830,07 55 40.4,-28 38 56,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 07559-5859,119.211782,-59.124563,07 56 50.8,-59 07 28,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 08005-2356,120.669034,-24.078675,08 02 40.6,-24 04 43,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 08357-1013,129.536745,-10.404707,08 38 08.8,-10 24 17,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 09371+1212,144.971792,+11.981323,09 39 53.2,+11 58 53,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 09429-2148,146.320925,-22.032301,09 45 17.0,-22 01 56,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 10197-5750,155.391582,-58.093830,10 21 34.0,-58 05 38,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 11385-5517,175.244996,-55.573502,11 40 58.8,-55 34 25,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
IRAS 11516-6201,178.526688,-62.311681,11 54 06.4,-62 18 42,SiO masers in OH/IR stars proto-PN and PN (Nyman+ 1998),J/A+AS/127/185
