IRAS 08425-5116,131.0181667,-51.4616389,08 44 04.36,-51 27 41.9,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 11438-6330,176.5583333,-63.7872778,11 46 14.00,-63 47 14.2,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 12158-6443,184.6478333,-65.0039444,12 18 35.48,-65 00 14.2,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 12358-6323,189.7014583,-63.6609444,12 38 48.35,-63 39 39.4,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 14247-6148,217.1280417,-62.0265833,14 28 30.73,-62 01 35.7,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 14562-5637,225.0099583,-56.8289444,15 00 02.39,-56 49 44.2,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 15471-4634,237.6680417,-46.7213611,15 50 40.33,-46 43 16.9,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 15514-5323,238.8380417,-53.5457222,15 55 21.13,-53 32 44.6,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 16040-4708,241.9144583,-47.2739722,16 07 39.47,-47 16 26.3,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 16219-4823,246.4245417,-48.5094167,16 25 41.89,-48 30 33.9,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 16582-3059,255.3742917,-31.0719444,17 01 29.83,-31 04 19.0,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17004-4119,255.9832083,-41.4002222,17 03 55.97,-41 24 00.8,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17030-3053,256.5586250,-30.9606389,17 06 14.07,-30 57 38.3,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17107-3330,258.5210833,-33.5661111,17 14 05.06,-33 33 58.0,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17151-3642,259.6239167,-36.7686667,17 18 29.74,-36 46 07.2,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17171-2955,260.0843750,-29.9730000,17 20 20.25,-29 58 22.8,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17242-3859,261.9110417,-39.0361389,17 27 38.65,-39 02 10.1,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17276-2846,262.7014583,-28.8171389,17 30 48.35,-28 49 01.7,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17316-3523,263.7395833,-35.4312778,17 34 57.50,-35 25 52.6,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17317-3331,263.7613333,-33.5581667,17 35 02.72,-33 33 29.4,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17341-3529,264.3762083,-35.5179722,17 37 30.29,-35 31 04.7,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17350-2413,264.5368750,-24.2470278,17 38 08.85,-24 14 49.3,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17351-3429,264.6095417,-34.5113889,17 38 26.29,-34 30 41.0,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17367-3633,265.0317917,-36.5781667,17 40 07.63,-36 34 41.4,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17392-3020,265.6283750,-30.3686944,17 42 30.81,-30 22 07.3,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17417-1630,266.1661250,-16.5283611,17 44 39.87,-16 31 42.1,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17428-2438,266.4873750,-24.6660556,17 45 56.97,-24 39 57.8,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
IRAS 17467-4256,267.5854167,-42.9551389,17 50 20.50,-42 57 18.5,GLMP sample of galactic OH/IR stars (Jimenez-Esteban+ 2006),J/A+A/446/773
