IRAS 14297-6010,218.3764,-60.3926,14 33 30.33,-60 23 33.4,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14337-6215,219.4197,-62.4710,14 37 40.72,-62 28 15.5,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14341-6211,219.5202,-62.4126,14 38 04.85,-62 24 45.2,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14349-5821,219.7346,-58.5885,14 38 56.29,-58 35 18.6,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14369-5842,220.2859,-58.9144,14 41 08.62,-58 54 51.9,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14377-6316,220.4346,-63.4884,14 41 44.30,-63 29 18.4,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14390-5956,220.7208,-60.1562,14 42 52.99,-60 09 22.3,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14396-5635,220.8321,-56.8082,14 43 19.71,-56 48 29.6,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14428-5742,221.6280,-57.9090,14 46 30.72,-57 54 32.4,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14465-6000,222.6103,-60.2206,14 50 26.48,-60 13 14.1,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14477-5812,222.8758,-58.4198,14 51 30.20,-58 25 11.2,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14511-5905,223.7417,-59.2904,14 54 58.00,-59 17 25.5,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14520-5742,223.9451,-57.9094,14 55 46.82,-57 54 33.7,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14541-6109,224.5344,-61.3650,14 58 08.26,-61 21 53.8,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14562-5637,225.0098,-56.8296,15 00 02.35,-56 49 46.4,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14582-5926,225.5429,-59.6369,15 02 10.30,-59 38 12.7,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 14583-5838,225.5466,-58.8330,15 02 11.17,-58 49 58.9,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 15081-5758,227.9990,-58.1609,15 11 59.77,-58 09 39.3,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 15086-5613,228.1224,-56.4073,15 12 29.37,-56 24 26.3,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
IRAS 15099-5509,228.4247,-55.3444,15 13 41.92,-55 20 39.8,OH-selected AGB and post-AGB objects. I. (Sevenster+ 2002),J/AJ/123/2772
