OH359.429+0.035,266.03071667,-29.40212500,17 44 07.372,-29 24 07.65,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.487+0.081,266.01707500,-29.33191667,17 44 04.098,-29 19 54.90,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.508+0.179,265.94010000,-29.25968333,17 43 45.624,-29 15 34.86,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.513+0.174,265.94488333,-29.26050833,17 43 46.772,-29 15 37.83,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.517+0.001,266.11522917,-29.34684167,17 44 27.655,-29 20 48.63,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.712-0.263,266.48985833,-29.31939167,17 45 57.566,-29 19 09.81,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.745-0.404,266.64845417,-29.36380000,17 46 35.629,-29 21 49.68,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.751-0.371,266.61963333,-29.34143333,17 46 28.712,-29 20 29.16,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.760+0.072,266.19162083,-29.10385000,17 44 45.989,-29 06 13.86,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.765+0.082,266.18548750,-29.09449167,17 44 44.517,-29 05 40.17,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.768-0.207,266.46948333,-29.24258056,17 45 52.676,-29 14 33.29,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.783-0.392,266.65978333,-29.32351667,17 46 38.348,-29 19 24.66,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.837+0.120,266.19100833,-29.01183056,17 44 45.842,-29 00 42.59,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.855-0.078,266.39472500,-29.10075000,17 45 34.734,-29 06 02.70,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.897-0.065,266.40998333,-29.05995278,17 45 38.396,-29 03 35.83,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.906-0.041,266.38970000,-29.03784444,17 45 33.528,-29 02 16.24,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.924+0.034,266.32900417,-28.98248333,17 45 18.961,-28 58 56.94,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.936-0.144,266.50819167,-29.06632778,17 46 01.966,-29 03 58.78,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.936-0.144,266.50820417,-29.06624444,17 46 01.969,-29 03 58.48,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.943+0.260,266.11681250,-28.84696667,17 44 28.035,-28 50 49.08,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.946-0.047,266.41947500,-29.00653056,17 45 40.674,-29 00 23.51,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.956-0.050,266.42812083,-28.99911944,17 45 42.749,-28 59 56.83,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.956-0.050,266.42817917,-28.99922222,17 45 42.763,-28 59 57.20,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.970-0.049,266.43481667,-28.98694167,17 45 44.356,-28 59 12.99,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH359.971-0.119,266.50412500,-29.02306667,17 46 00.990,-29 01 23.04,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.040-0.056,266.48386250,-28.93103056,17 45 56.127,-28 55 51.71,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.060-0.018,266.45518333,-28.89150833,17 45 49.244,-28 53 29.43,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.071+0.127,266.32347917,-28.81012778,17 45 17.635,-28 48 36.46,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.071-0.205,266.64883333,-28.98288611,17 46 35.720,-28 58 58.39,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.076+0.146,266.30781667,-28.79501389,17 45 13.876,-28 47 42.05,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.134-0.023,266.50590417,-28.83515833,17 46 01.417,-28 50 06.57,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.142+0.026,266.46772917,-28.80391944,17 45 52.255,-28 48 14.11,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.178-0.055,266.56593750,-28.80989444,17 46 15.825,-28 48 35.62,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.190+0.036,266.48047917,-28.75755833,17 45 55.315,-28 45 27.21,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.349+0.053,266.56232917,-28.61303333,17 46 14.959,-28 36 46.92,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.379+0.159,266.47524583,-28.52922222,17 45 54.059,-28 31 45.20,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.543-0.043,266.77040417,-28.49438333,17 47 04.897,-28 29 39.78,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
OH  0.548-0.059,266.78781667,-28.49768056,17 47 09.076,-28 29 51.65,H2O and SiO masers in the Galactic center (Sjouwerman+ 2002),J/A+A/391/967
