#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:29:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a83dccb671	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&tab:{J/AJ/123/2772/AGB}&key:source=J/AJ/123/2772/AGB&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/123/2772/AGB
#-order=I
#-out=n_Name
#-out=Name
#-out=Vlsr
#-out=Vexp
#-out=IRAS
#-out=NIRAS
#-out=S12um
#-out=S25um
#-out=S60um
#-out=S100um
#-out.all=2
#-out=S4um
#-out=S8um
#-out=S12umM
#-out=S15um
#-out=S21um
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=2MASS
#2MASS=2MASS
#-out=MSX
#MSX=MSX
#-out=GLON
#-out=GLAT
#-out=Vout
#-out=Sblue
#-out=Sred
#-out=vla
#-out=atca
#-out=_RA.icrs
#-out=_DE.icrs
#-out.all=2
#

#RESOURCE=yCat_51232772
#Name: J/AJ/123/2772
#Title: OH-selected AGB and post-AGB objects. I. (Sevenster+, 2002)
#Coosys	G:	galactic
#Table	J_AJ_123_2772_AGB:
#Name: J/AJ/123/2772/AGB
#Title: The catalogue of 766 OH-selected AGB and post-AGB objects (radio and infra-red data)
#Column	_RAJ2000	(A11)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A11)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	n_Name	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	Name	(A16)	OH name	[ucd=meta.id;meta.main]
#Column	Vlsr	(F6.1)	LSR velocity	[ucd=phys.veloc;pos.lsr]
#Column	Vexp	(F4.1)	Expansion velocity	[ucd=phys.veloc.expansion]
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id.assoc]
#Column	NIRAS	(F6.2)	Distance between OH pos and IRAS pos in fractions of IRAS error ellipse IN THE DIRECTION of the OH source	[ucd=pos.angDistance]
#Column	S12um	(F7.2)	? Flux density at 12{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S25um	(F7.2)	? Flux density at 25{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	S60um	(F8.2)	? Flux density at 60{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.30-60um]
#Column	S100um	(F8.2)	? Flux density at 100{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.60-100um]
#Column	S4um	(F6.2)	? MSX flux density at 4{mu}m (B2 band) if within 5" (1)	[ucd=phot.flux.density;em.IR.3-4um]
#Column	S8um	(F6.2)	? MSX flux density at 8{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S12umM	(F7.2)	? MSX flux density at 12{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S15um	(F7.2)	? MSX flux density at 15{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S21um	(F7.2)	? MSX flux density at 21{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	Jmag	(F7.2)	? 2MASS J magnitude if within 3" (1)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.2)	? 2MASS H magnitude if within 3" (1)	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F7.2)	? 2MASS Ks magnitude if within 3" (1)	[ucd=phot.mag;em.IR.K]
#Column	2MASS	(a5)	Display the 2MASS (Cat. II/246) sources within a 10-arcsec radius	[ucd=meta.ref.url]
#Column	MSX	(A3)	Display the MSX6C (Cat. V/114) sources within a 15-arcsec radius	[ucd=meta.ref.url]
#Column	GLON	(F7.3)	Galactic longitude in range [0,360]{deg} (the original table contained negative longitudes)	[ucd=pos.galactic.lon]
#Column	GLAT	(F7.3)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Vout	(F6.3)	Outflow velocity	[ucd=phys.veloc]
#Column	Sblue	(F7.3)	Blue peak flux density	[ucd=phot.flux.density;em.IR]
#Column	Sred	(F7.3)	Red peak flux density	[ucd=phot.flux.density;em.IR]
#Column	vla	(A24)	VLA spectrum name (vla/spectrumname)	[ucd=meta.id;meta.file]
#Column	atca	(A25)	ATCA spectrum name (atca/spectrumname)	[ucd=meta.id;meta.file]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	n_Name	Name	Vlsr	Vexp	IRAS	NIRAS	S12um	S25um	S60um	S100um	S4um	S8um	S12umM	S15um	S21um	Jmag	Hmag	Kmag	2MASS	MSX	GLON	GLAT	Vout	Sblue	Sred	vla	atca	_RA.icrs	_DE.icrs
"h:m:s"	"d:m:s"	 	 	km/s	km/s	 	 	Jy	Jy	Jy	Jy	Jy	Jy	Jy	Jy	Jy	mag	mag	mag	 	 	deg	deg	km/s	Jy	Jy	 	 	deg	deg
-----------	-----------	-	----------------	------	----	----------	------	-------	-------	--------	--------	------	------	-------	-------	-------	-------	-------	-------	-----	---	-------	-------	------	-------	-------	------------------------	-------------------------	--------	--------
14 33 30.33	-60 23 33.4	 	OH315.220+00.021	 -83.2	16.8	14297-6010	  0.64	  33.51	  28.31	    4.10	 -157.50	      	      	       	       	       	       	       	       	2MASS	MSX	315.220	+00.021	16.800	  0.538	  0.528	vla/OH315.220+00.021.dat	                         	218.3764	-60.3926
14 37 40.72	-62 28 15.5	 	OH314.867-02.087	 -30.0	19.7	14337-6215	  0.14	  72.98	  45.30	    8.39	   13.71	 40.83	 68.18	  70.51	  54.74	  57.33	       	       	       	2MASS	MSX	314.867	-02.087	19.700	  0.585	  0.555	vla/OH314.867-02.087.dat	                         	219.4197	-62.4710
14 38 04.85	-62 24 45.2	 	OH314.933-02.052	 -22.7	 9.5	14341-6211	  0.11	   2.82	  13.21	    5.68	  -72.73	 -9.21	  0.84	   2.96	   5.22	  11.42	       	       	       	2MASS	MSX	314.933	-02.052	 9.500	  0.384	  0.640	vla/OH314.933-02.052.dat	                         	219.5202	-62.4126
14 38 56.29	-58 35 18.6	 	OH316.563+01.409	 167.8	 0.0	14349-5821	 12.95	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	316.563	+01.409	 0.000	  0.172	  0.000	vla/OH316.563+01.409.dat	                         	219.7346	-58.5885
14 41 08.62	-58 54 51.9	 	OH316.692+00.995	 -11.8	 0.0	14369-5842	 31.69	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	316.692	+00.995	 0.000	  0.481	  0.000	vla/OH316.692+00.995.dat	                         	220.2859	-58.9144
14 41 44.30	-63 29 18.4	 	OH314.876-03.204	-118.3	 0.0	14377-6316	  0.60	  11.04	  10.10	    1.59	  -44.78	 -9.63	 11.85	  13.44	  10.76	  12.90	       	       	       	2MASS	MSX	314.876	-03.204	 0.000	  0.443	  0.000	vla/OH314.876-03.204.dat	                         	220.4346	-63.4884
14 42 52.99	-60 09 22.3	 	OH316.380-00.227	  72.3	20.4	14390-5956	  0.26	   6.06	  12.80	   -8.81	 -368.60	  8.42	 14.01	  19.46	  25.12	  24.59	       	       	       	2MASS	MSX	316.380	-00.227	20.400	  0.707	  0.787	vla/OH316.380-00.227.dat	                         	220.7208	-60.1562
14 43 19.71	-56 48 29.6	 	OH317.829+02.792	 -58.5	 0.0	14396-5635	  0.14	   8.30	   9.40	    2.73	  -30.05	      	      	       	       	       	       	       	       	2MASS	MSX	317.829	+02.792	 0.000	  1.558	  0.000	vla/OH317.829+02.792.dat	                         	220.8321	-56.8082
14 46 30.72	-57 54 32.4	 	OH317.752+01.613	 -68.0	13.9	14428-5742	  0.54	  30.52	  54.85	   19.38	 -101.30	      	      	       	       	       	       	       	       	2MASS	MSX	317.752	+01.613	13.900	  0.653	  0.801	vla/OH317.752+01.613.dat	                         	221.6280	-57.9090
14 50 26.48	-60 13 14.1	 	OH317.201-00.688	 -73.1	16.1	14465-6000	  0.80	  45.94	  45.35	  -59.48	 -187.90	 -8.75	 12.41	  14.40	  13.27	  16.99	       	       	       	2MASS	MSX	317.201	-00.688	16.100	  1.854	  2.031	vla/OH317.201-00.688.dat	                         	222.6103	-60.2206
14 51 30.20	-58 25 11.2	 	OH318.121+00.866	  16.0	 7.3	14477-5812	  0.25	  30.25	  24.47	    3.97	 -134.50	 -9.13	 39.87	  38.97	  30.06	  32.06	       	       	       	2MASS	MSX	318.121	+00.866	 7.300	  0.579	  0.417	vla/OH318.121+00.866.dat	                         	222.8758	-58.4198
14 54 58.00	-59 17 25.5	 	OH318.128-00.113	 -56.2	13.1	14511-5905	  0.13	  14.12	  12.78	  -42.35	 -129.40	 -8.59	 15.69	  17.64	  13.17	  13.54	       	       	       	2MASS	MSX	318.128	-00.113	13.100	  0.348	  0.490	vla/OH318.128-00.113.dat	                         	223.7417	-59.2904
14 55 46.82	-57 54 33.7	 	OH318.855+01.066	  -5.2	12.4	14520-5742	  0.29	   2.67	   2.80	   -9.55	 -121.00	 -9.63	  2.71	   2.82	   2.35	   3.67	       	       	       	2MASS	MSX	318.855	+01.066	12.400	  0.290	  0.396	vla/OH318.855+01.066.dat	                         	223.9451	-57.9094
14 58 08.26	-61 21 53.8	 	OH317.517-02.134	 -76.0	16.1	14541-6109	  0.44	  11.78	  13.13	    3.30	  -12.61	 -9.21	 12.16	  14.29	  11.05	  13.44	       	       	       	2MASS	MSX	317.517	-02.134	16.100	  0.171	  0.263	vla/OH317.517-02.134.dat	                         	224.5344	-61.3650
15 00 02.35	-56 49 46.4	 	OH319.867+01.753	 -27.1	13.9	14562-5637	  0.45	  10.84	  25.08	   14.24	  -59.30	 -9.67	  9.45	  13.31	  20.55	  24.69	       	       	       	2MASS	MSX	319.867	+01.753	13.900	  2.336	  1.735	vla/OH319.867+01.753.dat	                         	225.0098	-56.8296
15 02 10.30	-59 38 12.7	 	OH318.774-00.848	 -38.8	19.7	14582-5926	  0.39	 203.30	 206.50	   42.12	 -217.50	      	      	       	       	       	       	       	       	2MASS	MSX	318.774	-00.848	19.700	  5.855	 13.682	vla/OH318.774-00.848.dat	                         	225.5429	-59.6369
