#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:34:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a855bce089	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&tab:{J/AJ/123/2772/doublede}&key:source=J/AJ/123/2772/doublede&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/123/2772/doublede
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Vlsr
#-out=Vexp
#-out=Sblue
#-out=Sred
#-out=IRAS
#-out=NIRAS
#-out=Tel
#-out=Sp
#Sp=Sp
#-out.all=2
#

#RESOURCE=yCat_51232772
#Name: J/AJ/123/2772
#Title: OH-selected AGB and post-AGB objects. I. (Sevenster+, 2002)
#Table	J_AJ_123_2772_doublede:
#Name: J/AJ/123/2772/doublede
#Title: OH double detections
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(A16)	Source name, based on galactic coordinates	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vlsr	(F6.1)	LSR velocity	[ucd=phys.veloc;pos.lsr]
#Column	Vexp	(F4.1)	Expansion velocity	[ucd=phys.veloc.expansion]
#Column	Sblue	(F6.2)	Blue peak flux density	[ucd=phot.flux.density;em.IR]
#Column	Sred	(F6.2)	Red peak flux density	[ucd=phot.flux.density;em.IR]
#Column	IRAS	(A10)	Name of nearest IRAS point source <II/125>	[ucd=meta.id.assoc]
#Column	NIRAS	(F6.2)	Distance between OH pos and IRAS pos in fractions of IRAS error ellipse in the direction of the OH source	[ucd=pos.angDistance]
#Column	Tel	(A1)	[ABVW] Telescope (1)	[ucd=meta.id;instr.tel]
#Column	Sp	(A2)	OH-spectrum from VLA or ATCA	[ucd=meta.ref.url]
_RAJ2000	_DEJ2000	Name	RAJ2000	DEJ2000	Vlsr	Vexp	Sblue	Sred	IRAS	NIRAS	Tel	Sp
deg	deg	 	"h:m:s"	"d:m:s"	km/s	km/s	Jy	Jy	 	 	 	
------------	------------	----------------	------------	------------	------	----	------	------	----------	------	-	--
270.44200000	-26.85881389	OH003.600-02.022	18 01 46.080	-26 51 31.73	 -37.8	10.2	  0.26	  0.30	17586-2651	  0.21	A	Sp
270.46624167	-24.00236667	OH006.095-00.630	18 01 51.898	-24 00 08.52	 102.2	13.6	  3.00	  0.20	17579-2359	  9.34	W	Sp
270.46631667	-24.00218889	OH006.095-00.630	18 01 51.916	-24 00 07.88	  87.5	 0.0	  2.37	  0.00	17588-2358	 11.69	B	Sp
270.50806250	-21.02002222	OH008.707+00.811	18 02 01.935	-21 01 12.08	 -56.3	15.3	  0.87	  0.37	17590-2101	  0.19	A	Sp
270.60515000	-22.01682778	OH007.885+00.240	18 02 25.236	-22 01 00.58	  18.2	15.9	  0.60	  0.30	17594-2201	  0.06	V	Sp
270.61176250	-19.63739444	OH009.958+01.409	18 02 26.823	-19 38 14.62	 194.1	12.4	  0.10	  0.30	17594-1938	  0.22	V	Sp
270.61366250	-27.36542222	OH003.234-02.404	18 02 27.279	-27 21 55.52	 -32.7	12.4	  3.97	  0.23	17593-2721	  0.26	A	Sp
270.63960833	-28.89887500	OH001.908-03.178	18 02 33.506	-28 53 55.95	-125.4	 0.0	  0.37	  0.00	17593-2854	  0.17	A	Sp
270.66358750	-23.36754444	OH006.736-00.473	18 02 39.261	-23 22 03.16	 -47.6	 8.0	  0.32	  0.65	17596-2322	  0.35	A	Sp
270.70084583	-22.46031944	OH007.542-00.056	18 02 48.203	-22 27 37.15	  17.0	21.5	  0.30	  0.30	17598-2227	  0.43	V	Sp
270.76555417	-21.12605278	OH008.733+00.549	18 03 03.733	-21 07 33.79	  41.5	12.4	  0.48	  0.32	18001-2107	  1.28	A	Sp
270.78300417	-25.31584444	OH005.094-01.528	18 03 07.921	-25 18 57.04	 -32.7	 5.1	  0.44	  0.69	18000-2519	  0.64	A	Sp
270.90373750	-17.56673333	OH011.897+02.186	18 03 36.897	-17 34 00.24	  23.9	 5.7	  0.90	  1.40	18006-1734	  0.12	V	Sp
270.91195000	-18.68606667	OH010.926+01.630	18 03 38.868	-18 41 09.84	 129.4	15.9	  0.60	  0.40	18007-1841	  1.57	V	Sp
270.93303750	-25.47581944	OH005.021-01.724	18 03 43.929	-25 28 32.95	 137.4	 0.0	  0.71	  0.00	18006-2528	  2.31	A	Sp
270.98216667	-21.52713056	OH008.483+00.176	18 03 55.720	-21 31 37.67	 197.4	 4.6	  1.70	  0.30	18004-2131	 11.64	W	Sp
270.98218750	-21.52715556	OH008.483+00.176	18 03 55.725	-21 31 37.76	 197.0	 4.4	  1.39	  0.44	18009-2128	 38.48	B	Sp
271.00438750	-24.11888056	OH006.236-01.115	18 04 01.053	-24 07 07.97	  44.3	19.3	  0.60	  2.00	18009-2407	  1.43	W	Sp
