#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:36:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a85f6cfd1f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&tab:{J/AJ/123/2772/tablevla}&key:source=J/AJ/123/2772/tablevla&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/123/2772/tablevla
#-order=I
#-out=Seq
#-out=Name
#-out=Type
#-out=RAJ2000
#-out=DEJ2000
#-out=Delta
#-out=Offset
#-out=Vlow
#-out=Vhigh
#-out=Vc
#-out=Vout
#-out=Slow
#-out=Shigh
#-out=rms
#-out=Ref
#-out=IRAS
#-out=Dist
#-out.all=2
#

#RESOURCE=yCat_51232772
#Name: J/AJ/123/2772
#Title: OH-selected AGB and post-AGB objects. I. (Sevenster+, 2002)
#Table	J_AJ_123_2772_tablevla:
#Name: J/AJ/123/2772/tablevla
#Title: VLA region
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Seq	(I3)	Source number	[ucd=meta.id;meta.main]
#Column	Name	(A16)	Source name, based on galactic coordinates	[ucd=meta.id]
#Column	Type	(A1)	Spectrum type (double/single/irregular)	[ucd=meta.note;src.morph.type]
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Delta	(F5.2)	Theoretical positional error from IMFIT (not practical)	[ucd=stat.error]
#Column	Offset	(F4.1)	Offset from pointing centre	[ucd=obs.param;arith.diff]
#Column	Vlow	(F6.1)	Low velocity	[ucd=phys.veloc]
#Column	Vhigh	(F6.1)	High velocity	[ucd=phys.veloc]
#Column	Vc	(F6.1)	Central star velocity	[ucd=meta.id]
#Column	Vout	(F4.1)	Outflow velocity shell	[ucd=phys.veloc]
#Column	Slow	(F4.1)	Low flux density	[ucd=phot.flux.density;em.radio]
#Column	Shigh	(F5.1)	High flux density	[ucd=phot.flux.density;em.radio]
#Column	rms	(I3)	rms noise in empty cubes	[ucd=stat.stdev;instr.det.noise]
#Column	Ref	(A1)	[*+x-] Reference symbol OH	[ucd=meta.ref;pos.frame]
#Column	IRAS	(A10)	Name of nearest IRAS point source <II/125>	[ucd=meta.id.assoc]
#Column	Dist	(F7.3)	Distance to IRAS PS (confidence radii)	[ucd=pos.angDistance]
_RAJ2000	_DEJ2000	Seq	Name	Type	RAJ2000	DEJ2000	Delta	Offset	Vlow	Vhigh	Vc	Vout	Slow	Shigh	rms	Ref	IRAS	Dist
deg	deg	 	 	 	"h:m:s"	"d:m:s"	arcsec	arcmin	km/s	km/s	km/s	km/s	Jy	Jy	mJy	 	 	arcmin
------------	------------	---	----------------	-	------------	------------	-----	----	------	------	------	----	----	-----	---	-	----------	-------
267.87231250	-23.86110833	  1	OH005.026+01.491	d	17 51 29.355	-23 51 39.99	 0.00	 1.7	 106.7	 133.9	 120.3	13.6	 2.6	  0.9	 15	*	17484-2350	  0.903
267.93009583	-23.77493889	  2	OH005.127+01.490	d	17 51 43.223	-23 46 29.78	 0.02	 7.7	-202.0	-168.0	-185.0	17.0	 0.3	  0.2	 15	-	17486-2345	  0.124
269.26379167	-24.68074444	  3	OH004.961-00.017	d	17 57 03.310	-24 40 50.68	 0.03	 2.6	 -74.9	 -31.8	 -53.3	21.5	 0.3	  0.6	 26	+	17539-2440	  0.725
269.52040417	-21.35206111	  4	OH007.961+01.445	d	17 58 04.897	-21 21 07.42	 0.00	 4.0	 -34.0	  -9.1	 -21.5	12.4	 3.8	  4.3	 15	*	17550-2120	  0.427
269.57380000	-23.65415000	  5	OH005.991+00.252	d	17 58 17.712	-23 39 14.94	 0.01	15.2	  93.1	 104.4	  98.8	 5.7	 2.3	  1.7	 25	*	17552-2339	  0.339
269.77072917	-20.45688056	  6	OH008.854+01.689	d	17 59 04.975	-20 27 24.77	 0.00	14.3	 190.7	 217.9	 204.3	13.6	 3.0	  1.6	 15	*	17560-2027	  0.346
269.79990000	-19.75644167	  7	OH009.475+02.014	d	17 59 11.976	-19 45 23.19	 0.23	 1.7	 -36.3	  -2.3	 -19.3	17.0	 0.1	  0.1	 19	-	17562-1945	  0.539
270.12658333	-24.06698889	  8	OH005.885-00.392	d	18 00 30.380	-24 04 01.16	 0.00	 9.4	 -22.7	   6.8	  -7.9	14.8	 5.3	  1.2	 26	*	17574-2403	  1.641
270.25707083	-23.41123056	  9	OH006.514-00.171	d	18 01 01.697	-23 24 40.43	 0.01	10.3	  93.1	 113.5	 103.3	10.2	 0.6	  0.7	 31	+	17579-2324	  0.206
270.46624167	-24.00236667	 10	OH006.095-00.630	d	18 01 51.898	-24 00 08.52	 0.00	 9.7	  88.5	 115.8	 102.2	13.6	 3.0	  0.2	 26	*	17579-2359	  9.344
270.60515000	-22.01682778	 11	OH007.885+00.240	d	18 02 25.236	-22 01 00.58	 0.13	16.0	   2.3	  34.1	  18.2	15.9	 0.6	  0.3	 26	-	17594-2201	  0.056
270.61176250	-19.63739444	 12	OH009.958+01.409	d	18 02 26.823	-19 38 14.62	 0.01	 6.0	 181.6	 206.5	 194.1	12.4	 0.1	  0.3	 15	-	17594-1938	  0.218
270.70084583	-22.46031944	 13	OH007.542-00.056	d	18 02 48.203	-22 27 37.15	 0.05	 4.2	  -4.5	  38.6	  17.0	21.5	 0.3	  0.3	 28	-	17598-2227	  0.426
270.90373750	-17.56673333	 14	OH011.897+02.186	i	18 03 36.897	-17 34 00.24	 0.12	12.8	  18.2	  29.5	  23.9	 5.7	 0.9	  1.4	 39	-	18006-1734	  0.118
270.91195000	-18.68606667	 15	OH010.926+01.630	d	18 03 38.868	-18 41 09.84	 0.01	 9.0	 113.5	 145.3	 129.4	15.9	 0.6	  0.4	 16	+	18007-1841	  1.567
270.98216667	-21.52713056	 16	OH008.483+00.176	d	18 03 55.720	-21 31 37.67	 0.00	10.6	 192.9	 202.0	 197.4	 4.6	 1.7	  0.3	 27	*	18004-2131	 11.639
