#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T21:32:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=39	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+AS/128/35/stars
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&cat:J/A+AS/127/185&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&tab:{J/A+AS/128/35/stars}&cat:J/A+A/431/779&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=s2&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=ePos&-out=Vblue&-out=Vred&-out=Vstar&-out=oLon&-out=oLat&-out.all=2&-out=Ref&-out=s3&-out=PBF&-out=Sblue&-out=Iblue&-out=e_Sblue&-out=Sred&-out=Ired&-out=e_Sred&-out=Vexp&-out=log(LOH)&-out=majAxis&-out=minAxis&-out=PA&-out=Note&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+AS/128/35/stars
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+AS/128/35/stars
#-out=s2
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=ePos
#-out=Vblue
#-out=Vred
#-out=Vstar
#-out=oLon
#-out=oLat
#-out=Ref
#-out=s3
#-out=PBF
#-out=Sblue
#-out=Iblue
#-out=e_Sblue
#-out=Sred
#-out=Ired
#-out=e_Sred
#-out=Vexp
#-out=log(LOH)
#-out=majAxis
#-out=minAxis
#-out=PA
#-out=Note
#

#RESOURCE=yCat_41280035
#Name: J/A+AS/128/35
#Title: New Sample of OH/IR stars (Sjouwerman+ 1998)
#Table	J_A_AS_128_35_stars:
#Name: J/A+AS/128/35/stars
#Title: OH/IR stars in the Galactic center: positional,  kinematic and physical data
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	s2	(A1)	[abc] Image cube/data set code (2)	[ucd=meta.id;instr]
#Column	Name	(A13)	OH name according to its Galactic coordinates	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	ePos	(F6.3)	Maximum error in RA or Dec	[ucd=stat.error;pos.eq.ra;stat.max]
#Column	Vblue	(F6.1)	Velocity blue-shifted peak	[ucd=phys.veloc;stat.max]
#Column	Vred	(F6.1)	Velocity red-shifted peak	[ucd=phys.veloc;stat.max]
#Column	Vstar	(F6.1)	Stellar velocity (mean of OH peaks)	[ucd=phys.veloc]
#Column	oLon	(F7.3)	Galactic longitude offset from Sgr A*	[ucd=pos;arith.diff]
#Column	oLat	(F7.3)	Galactic latitude offset from Sgr A*	[ucd=pos;arith.diff]
#Column	Ref	(a10)	References, see Note (1)	[ucd=meta.ref;pos.frame]
#Column	s3	(A1)	Image cube/data set code (see Table 1)	[ucd=meta.id;instr]
#Column	PBF	(F5.2)	Primary beam attenuation factor	[ucd=instr.param]
#Column	Sblue	(F6.1)	Peak flux density blue-shifted peak	[ucd=phot.flux.density;em.IR]
#Column	Iblue	(F5.2)	Integrated line flux blue-shifted peak	[ucd=phot.flux.density;stat.max]
#Column	e_Sblue	(F4.1)	Relative error blue-shifted measurements	[ucd=stat.error]
#Column	Sred	(F6.1)	Peak flux density red-shifted peak	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	Ired	(F5.2)	Integrated line flux red-shifted peak	[ucd=phot.flux.density;stat.max]
#Column	e_Sred	(F4.1)	Relative error red-shifted measurements	[ucd=stat.error]
#Column	Vexp	(F5.2)	Expansion velocity of OH shell	[ucd=phys.veloc.expansion]
#Column	log(LOH)	(F4.1)	OH luminosity (distance assumed Ro=8kpc)	[ucd=phys.luminosity]
#Column	majAxis	(F4.1)	Deconvolution major axis	[ucd=phys.angSize]
#Column	minAxis	(F4.1)	Deconvolution minor axis	[ucd=phys.angSize.sminAxis]
#Column	PA	(I3)	Deconvolution position angle	[ucd=pos.posAng]
#Column	Note	(A4)	Notes, see Note (1)	[ucd=meta.note]
_RAJ2000	_DEJ2000	s2	Name	RAJ2000	DEJ2000	ePos	Vblue	Vred	Vstar	oLon	oLat	Ref	s3	PBF	Sblue	Iblue	e_Sblue	Sred	Ired	e_Sred	Vexp	log(LOH)	majAxis	minAxis	PA	Note
deg	deg	 	 	"h:m:s"	"d:m:s"	arcsec	km/s	km/s	km/s	arcmin	arcmin	 	 	 	mJy	Jy.km/s	%	mJy	Jy.km/s	%	km/s	[solLum]	arcsec	arcsec	deg	
------------	------------	-	-------------	------------	------------	------	------	------	------	-------	-------	----------	-	-----	------	-----	----	------	-----	----	-----	----	----	----	---	----
266.38957083	-29.41606111	c	359.583-0.239	17 45 33.497	-29 24 57.82	 0.096	-103.8	 -76.2	 -90.0	-21.607	-11.505	1 (13)    	c	 8.48	3773.7	19.68	 0.2	1460.2	11.22	 1.3	13.80	45.1	 0.0	 0.0	  0	
266.16505000	-29.27951944	c	359.598-0.000	17 44 39.612	-29 16 46.27	 0.167	 -92.1	 -54.4	 -73.3	-20.698	  2.814	1 (14)    	c	 4.17	 383.8	 1.31	 0.8	 517.8	 1.31	 2.3	18.89	44.0	 0.0	 0.0	  0	
266.29315417	-29.30328056	c	359.636-0.108	17 45 10.357	-29 18 11.81	 0.233	-160.4	-115.4	-137.9	-18.420	 -3.650	1 (17)    	c	 3.05	 541.1	 2.36	 0.6	 229.1	 1.70	 2.6	22.51	44.2	 0.0	 0.0	  0	
266.27218333	-29.28708333	c	359.640-0.084	17 45 05.324	-29 17 13.50	 0.648	-157.5	-127.0	-142.3	-18.163	 -2.206	1 (18)    	c	 2.87	  35.6	 0.10	14.0	 175.4	 0.33	13.2	15.26	43.2	 0.0	 0.0	  0	LWHM
266.32521250	-29.30131944	c	359.652-0.131	17 45 18.051	-29 18 04.75	 0.381	-208.4	-167.7	-188.0	-17.450	 -5.021	1 (19)    	c	 2.82	  86.1	 0.39	 3.3	 257.5	 0.79	 4.9	20.33	43.7	 0.0	 0.0	  0	
266.14300417	-29.17549167	a	359.675+0.070	17 44 34.321	-29 10 31.77	 0.336	 -42.9	  -6.5	 -24.7	-16.057	  7.005	1 (21)    	a	 2.87	 443.0	 2.82	 0.8	 564.3	 2.61	 2.7	18.16	44.3	 4.5	 1.8	165	
266.14371667	-29.17703889	c	359.676+0.069	17 44 34.492	-29 10 37.34	 0.094	 -42.8	  -6.4	 -24.6	-16.040	  6.981	1 (21)    	c	 2.59	 487.8	 2.47	 0.3	 682.0	 2.58	 0.9	18.16	44.3	 0.0	 0.0	  0	
266.23680000	-29.22371944	c	359.678-0.025	17 44 56.832	-29 13 25.39	 0.141	-172.1	-128.5	-150.3	-15.885	  1.359	1 (22)    	c	 2.20	 312.0	 1.11	 0.5	 348.0	 1.05	 1.8	21.79	43.9	 0.0	 0.0	  0	
266.30706250	-29.25603611	a	359.681-0.095	17 45 13.695	-29 15 21.73	 0.389	-118.3	 -79.2	 -98.7	-15.688	 -2.844	1 (23)    	a	 3.38	   0.0	 0.00	99.0	 288.2	 0.96	 5.8	19.56	43.6	 0.0	 0.0	  0	ATCA
266.30772500	-29.25791389	c	359.681-0.095	17 45 13.854	-29 15 28.49	 0.140	-118.3	 -79.1	 -98.7	-15.703	 -2.881	1 (23)    	c	 2.21	 255.6	 1.67	 0.6	 595.4	 2.17	 1.5	19.61	44.2	 0.0	 0.0	  0	
266.31813333	-29.26094722	c	359.683-0.105	17 45 16.352	-29 15 39.41	 0.423	 -76.2	 -41.3	 -58.7	-15.575	 -3.441	1 (24)    	c	 2.21	 120.7	 0.41	 1.6	  43.8	 0.14	14.1	17.43	43.3	 0.0	 0.0	  0	
266.32982917	-29.23328333	a	359.711-0.100	17 45 19.159	-29 13 59.82	 0.466	 -50.8	 -12.2	 -31.5	-13.901	 -3.148	1 (25)    	a	 2.75	 200.4	 1.00	 1.7	 288.1	 0.95	 5.6	19.29	43.9	 0.0	 0.0	  0	
266.33053750	-29.23501667	c	359.711-0.100	17 45 19.329	-29 14 06.06	 0.093	 -51.5	 -12.2	 -31.9	-13.912	 -3.184	1 (25)    	c	 1.89	 402.6	 1.46	 0.4	 576.5	 1.89	 1.0	19.61	44.1	 0.0	 0.0	  0	
266.30330000	-29.21368333	a	359.716-0.070	17 45 12.792	-29 12 49.26	 0.345	   8.2	  52.5	  30.4	-13.624	 -1.351	1 (26)    	a	 2.42	 229.8	 1.55	 0.9	 318.3	 1.74	 2.5	22.13	44.1	 3.3	 2.4	  9	
266.30387917	-29.21524444	c	359.716-0.070	17 45 12.931	-29 12 54.88	 0.129	   8.1	  51.7	  29.9	-13.623	 -1.373	1 (26)    	c	 1.79	 390.2	 1.71	 0.5	 525.1	 1.99	 1.3	21.79	44.2	 0.0	 0.0	  0	
266.21360833	-29.16248333	c	359.720+0.025	17 44 51.266	-29 09 44.94	 0.275	-124.1	 -80.5	-102.3	-13.385	  4.314	1 (27)    	c	 1.85	 164.1	 0.55	 1.0	  12.3	 0.00	99.0	21.79	43.3	 0.0	 0.0	  0	LWHM
266.05375000	-29.06597222	a	359.728+0.193	17 44 12.900	-29 03 57.50	 0.530	  30.9	  60.4	  45.7	-12.907	 14.430	          	a	 2.79	 118.9	 0.06	19.3	  54.1	 0.05	66.5	14.76	42.6	 0.0	 0.0	  0	
266.12259167	-29.08293611	c	359.746+0.134	17 44 29.422	-29 04 58.57	 0.216	-144.4	-128.5	-136.5	-11.805	 10.879	1 (29)    	c	 2.21	 168.1	 0.37	 2.1	 287.1	 0.62	 3.9	 7.99	43.6	 0.0	 0.0	  0	
